symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
RAMP,Accumulation,High,62,Clean,Uptrend Feb–Mar (22.69→29.9) | Pullback/Re-accumulation Mar–May (~25.33–30.38) | Anomalous Gap Jump May-18 (~29.66→37.77) | Flat Distribution Channel May-18–Aug-04 (37.38–38.23),Feb–Mar: Strong effort with expanding volume producing price advance (healthy) | Mar–May: Moderate volume with declining range (re-accumulation) | May-18 gap: Massive volume spike (13.09M vs avg ~600K) with minimal upside follow-through (gap-and-stall) | Post-gap: Persistent volume without price progression = effort NOT producing result = Distribution signal,Feb–Mar: Rising volume on advance (bullish effort) | Mar pullback: Declining volume on dips (constructive) | May-18: Extreme anomalous spike 13.09M (21x avg) = climactic event | May-19–Aug: Elevated but diminishing volume (4.5M→~700K) on flat price = absorption/distribution | Recent weeks: Low volume narrow range = reduced interest,"Feb–May-15: Accumulation confirmed (higher lows, rising price, constructive volume) | May-18 onward: Distribution characteristics dominant (climactic volume, flat price, failed upside follow-through, volume drying on bounces)",Appears to have distributed into the May-18 gap event (Buying Climax analog) | Post-gap behavior suggests CO selling into retail buying | Tight range maintenance may reflect residual supply absorption or controlled markup preparation | No Sign of Strength breakout above 38.23 resistance confirmed,"Spring/LPS ~Feb-11 (22.69 low) | Phase A Accumulation base Feb–Mar | Markup Phase Feb-26–Mar-09 | Secondary Test pullback Mar–May | Buying Climax (BC) analog May-18 (13.09M volume gap) | Automatic Reaction (AR) implicit in gap stall | Phase B Distribution range May-18–present (37.38–38.23) | Potential UTAD test Jul-14 (38.23 high, faded) | No confirmed Sign of Weakness breakdown yet",Massive volume anomaly May-18 is the pivotal event — 21x average volume with ~8-point gap but zero follow-through over 55+ sessions | Price locked in ~0.85-point range (37.24–38.23) for 55+ days = classic distribution trading range | UTAD candidate Jul-14 at 38.23 rejected | Volume steadily declining into range = supply overhang | Recent price ~37.87–37.89 near midpoint of range | No bullish SOS; no bearish SOW confirmed yet,"Gap event may be corporate action (merger/acquisition/special dividend) distorting Wyckoff interpretation | If gap is non-market structural (e.g., price adjustment), accumulation phase may still be active | 55-session flat range with declining volume could also precede markup (Spring setup) not just distribution | Insufficient SOW (no high-volume breakdown) to confirm full distribution | Low recent volume ambiguous — could signal absorption complete or disinterest | Wyckoff phase assignment carries elevated uncertainty due to gap anomaly",26,9,6,6,11
NMRK,Accumulation,High,62,Mixed,Broadening range with lower highs from April peak (16.99) | Support cluster 13.62–14.30 tested multiple times | Current recovery attempt from secondary low,"Effort without result on upside (Apr 17–23 high volume, price failed to hold above 16.66) | Selling effort on May 14–15 produced strong result (gap-close, wide spread, high volume) | Recovery from June lows shows improving result vs effort","Feb 11 climactic sell volume (2.3M, wide spread down) = Selling Climax candidate | Feb 12 high volume (5.2M) = Automatic Rally / Secondary Test zone | Apr 17–23 distribution-like volume on upthrust highs | May 14 breakdown on elevated volume = Sign of Weakness | Jun 26 volume spike (5.47M) = Spring or shakeout test at support | Recent Jul–Aug volume declining on recovery = cautious absorption",Primary range: Accumulation base 13.62–15.57 | Secondary distribution attempt: 15.73–16.99 (April) failed to sustain | Re-accumulation likely forming after May–June washout | Net bias: Accumulation favored but unconfirmed,Absorbed supply Feb–Mar in base | Marked up Apr | Tested commitment with May shakeout | Currently re-testing markup capacity from Jun low | Behavior consistent with operator building position on weakness,"Selling Climax (SC): 2026-02-11 (17.42→14.56, vol 2.3M) | Automatic Rally (AR): 2026-02-18 (15.57 high) | Secondary Test (ST): 2026-02-23–24 (14.315 low) | Sign of Strength (SOS): 2026-04-08–17 (breakout 15.38→16.66) | Upthrust After Distribution (UTAD): 2026-04-23 (16.99 high, failed close) | Sign of Weakness (SOW): 2026-05-14–15 (14.78→14.17, high vol) | Spring/Shakeout: 2026-06-01–03 (13.62 low, low vol test) | Last Point of Support (LPS): 2026-06-08–09 (recovery begins) | Backup to Creek: 2026-07-28–08-04 range 15.08–15.895",Feb 11 wide-range down candle on moderate volume lacks climactic surge — SC is tentative | Feb 12 high volume 5.2M with lower close = most credible supply absorption event | April rally to 16.99 failed on rising vol = distribution/UTAD signal | May 14 gap-close breakdown critical level violated with volume = bearish pressure | Jun 26 volume spike (5.47M) at support is most significant volume event post-breakdown — potential spring validation | Current price 15.785 recovering above Jun lows — constructive | No confirmed Phase D Sign of Strength yet — watch for close above 15.90–16.04 on volume,SC event (Feb 11) has moderate not climactic volume — base confirmation weak | UTAD on Apr 23 may indicate distribution not re-accumulation | May 14–15 SOW broke below trading range —,26,9,3,7,12
BXMT,Distribution,High,78,Mixed,Bearish | Lower highs and lower lows established from Feb peak (~20.35) through current levels (~14.43) | No sustained recovery rallies,Effort without result on upside (Apr rally to ~20.43 failed to sustain) | Large effort on downside (Jul-30/31 climactic volume with decisive breakdown) | Supply clearly overwhelming demand,Elevated volume on down bars and range breakdowns | Jul-30: 5.29M | Jul-31: 6.00M climactic selling | Apr-29: 4.34M distribution confirmation | Mar-20: 3.99M supply surge | Volume contracting on weak rallies,Distribution confirmed | Sustained price deterioration from Feb high ~20.35 to Aug ~14.43 (~29% decline) | No re-accumulation base forming yet,Selling into strength | Used Feb–Apr range to offload | Apr-16 high (~20.43) likely UTAD or secondary test of distribution top | Systematic markdown now underway,"PSY/BC candidate: Feb-11 ~20.35 high | UTAD: Apr-16 ~20.43 (highest point, failed immediately) | SOW: Mar-20 break on 3.99M volume | LPSY: Apr-28 ~20.30 final rally failure | ICE break: Jun-24/25 breakdown ~17.35 on 3.06M | Markdown acceleration: Jul-30/31 climactic volume breakdown to ~14.43",Price broke critical support zones at 19.00 | 18.00 | 17.00 | 16.00 levels sequentially | Jul-30/31 two-day collapse (~14% drop) on highest volume of dataset suggests selling climax candidate but no base yet | Current price ~14.43–14.57 with volume normalizing may indicate SC territory | No confirmed AR or SOS yet to suggest re-accumulation,Potential selling climax at Jul-30/31 may produce short-term bounce — not confirmed accumulation | Markdown may extend further if no demand appears | Thin volume Aug-3/4 post-climax inconclusive | No structural SOS or Creek crossing visible | Any rally must be evaluated as potential LPSY until proven otherwise,25,6,5,7,13
PRVA,Distribution,High,68,Mixed,Bearish — series of lower highs and lower lows developing from July peak | Uptrend from Feb lows to July highs completed | Current structure breaking down,Bearish divergence dominant — high volume on Feb 26 spike (2.55M) produced diminishing follow-through | July 16 high-volume reversal bar (2.43M) on wide spread down = significant supply | June 26 climactic volume (4.44M) marks likely Buying Climax (BC),Climactic volume June 26 (4.44M) at highs = BC signal | Distribution confirmed by volume expansion on down bars post-July 16 | Declining volume on rallies (Aug 3–4 low volume = weak demand) | Volume drying up on bounces = no absorption,"DISTRIBUTION — Buying Climax June 26 (~25.57) | Automatic Reaction July 17–21 | Secondary Test July 13–15 (~28.03–28.10) failed to exceed BC volume | Sign of Weakness (SOW) July 16 (wide down bar, high volume) | Last Point of Supply (LPSY) attempts July 22–24 | Markdown underway late July–August",Distributing — CO sold heavily into June 26 climax | Used July rally to complete distribution near 28.00–28.30 | Now withdrawing support; markdown phase initiating,"Preliminary Support (PS): Feb 11–12 (~21.38–21.50) | Selling Climax (SC) / Spring: Feb 25 (21.00 low, volume surge 1.41M) | Automatic Rally (AR): Feb 26 (24.91, 2.55M) | Re-accumulation range: Mar–Apr (~21.00–25.00) | Sign of Strength (SOS): Jun 9–11 breakout | Buying Climax (BC): Jun 26 (25.57, 4.44M) | Upthrust After Distribution (UTAD): Jul 14–15 (~28.10–28.41) | Sign of Weakness (SOW): Jul 16 (wide range down, 2.43M) | Last Point of Supply (LPSY): Jul 22–24 | Markdown initiation: Jul 27–Aug 4",Price peaked at 28.41 (Jul 15) and reversed sharply on 2.43M volume = professional selling | Feb 25–26 base launch confirmed valid accumulation | Distribution range roughly 24.50–28.41 | Current price ~23.78 breaking below Jun consolidation support | Aug 4 volume extremely low (194K) suggesting possible short-term stabilization but no reversal signal yet | Overall structure spans ~6-month cycle from accumulation to distribution,"Aug 4 volume (194K) anomalously low — possible data truncation or halt | Re-accumulation between Mar–Jun complicates clean distribution labeling | If 23.00 holds with volume expansion on up bars, minor base possible | No confirmed secondary test of markdown lows yet — full markdown may extend to 21.00–20.00 support zone",25,10,4,6,14
EYE,Accumulation,High,72,Mixed,Primary downtrend (Feb–May 13) | Climactic low May 13 (~14.75) | Basing range Jun–Jul (~15.44–18.86) | Emerging uptrend Jul 27–Aug 4 | Higher lows and higher highs forming,"Climax candle May 13 (range ~4.44, vol 13.3M) = Selling Climax (SC) | May 14 high-vol bounce = Automatic Rally (AR) | Subsequent back-and-fill Jun–early Jul = effort absorbed | Jul 27–Aug 4 rally on declining vol = low-resistance markup signal",Extreme volume spike May 13 (SC) | Elevated vol May 14–15 (AR formation) | Diminishing vol on retests Jun (Spring behavior) | Increasing vol on Jul 26–28 upthrust-to-markup | Recent Aug vol light = controlled advance,ACCUMULATION | SC: May 13 | AR: May 14 | ST: May 15–19 area | Secondary Test/Spring: Jun 4–8 (~14.93 low) | LPS: Jun 22–25 base | SOS: Jun 26 breakout surge (vol 3.52M) | BU/LPS: Jul pullback ~19.15–19.53 | Markup: Jul 27–Aug 4,Absorbed supply aggressively at SC | Allowed retest to confirm demand dominance | Engineered Spring near Jun lows | Accumulated quietly Jun–Jul | Initiated markup late Jul with controlled volume | Currently defending gains above 22.00,"SC: 2026-05-13 (14.75 low, 13.3M vol) | AR: 2026-05-14 (18.57 high) | ST: 2026-05-15 to 05-19 | Secondary Weakness Test: Jun 4–5 (14.93 low = Spring) | SOS: 2026-06-26 (18.86 close, 3.52M vol) | LPS: 2026-07-08 to 07-10 (19.06–19.15 zone) | Markup Confirmation: 2026-07-27 to 08-04",14.75 is the Selling Climax low and critical structural anchor | Spring low ~14.93 (Jun 5) held above SC = bullish | SOS breakout Jun 26 exceeded AR high decisively | Markup proceeding with orderly price expansion | 23.10 (Aug 4) approaching prior resistance zone ~25–27 | Volume declining on markup = healthy low-resistance advance | Structure mirrors textbook Wyckoff re-accumulation after prolonged decline,"Prior range support ~25–27 now overhead resistance | Volume on Aug 4 extremely low (408K) — partial session or thin participation | Full confirmation of Phase D requires sustained closes above 23–24 | No sign yet of UTAD risk but monitoring ~25 zone | Distance from SC low (~14.75 to ~23) = ~55% rally, short-term pullback/LPS re-test possible | Broader market context unknown — external shock risk remains",24,7,6,7,15
VISN,Accumulation,High,62,Mixed,Primary downtrend from ~19.88 (Feb 11) → gap collapse to ~9.47 (Apr 28 low) | Secondary: Basing/re-accumulation range ~10.47–13.04 (Apr 29–present) | Recent: Gradual drift lower within basing range Jul–Aug,"Feb–Apr: High-volume selling with downward results (effort confirms supply) | Apr 28–30: Climactic volume (20.5M–30.1M) with price stabilization — effort absorbed | May–Aug: Declining volume on downward tests — effort reducing, supply drying up | Aug 3–4: Uptick volume with positive close — preliminary demand signal","Apr 28: Selling Climax volume spike (20.5M) | Apr 30: High-volume reversal bar (30.1M) — Automatic Rally / Sign of Strength candidate | May–Jun: Elevated but declining volume on pullbacks | Jul–Aug: Low-volume compression, narrowing range | Aug 4: Volume contraction (2.8M) on up-close — thin but constructive",Accumulation — Post-climactic base forming between ~10.47–13.04 | Supply absorption evident in reduced volume on downswings | Demand emerging but not yet dominant | No confirmed Sign of Strength breakout above resistance,Absorbing supply quietly post-climax | Testing demand with low-volume pullbacks Jul–Aug | Not yet showing aggressive markup — patience/accumulation phase behavior | Watching for Spring or Last Point of Support before markup,"Preliminary Supply (PSY): ~Feb 11 (19.88 high, elevated vol) | Buying Climax (BC) / Selling Climax hybrid: Apr 28 gap-down (9.47 low, 20.5M vol) | Automatic Rally (AR): Apr 30 (12.80 close, 30.1M vol) | Secondary Test (ST): May 1–8 pullback to ~11.57–11.93 zone | Creek/Resistance: ~12.80–13.04 | Last Point of Support (LPS) candidates: Jul 27–Aug 3 (~11.61–11.77 lows) | Potential Spring test: Jul 20 (11.795 low) — minor",Apr 28 gap-down halved price — likely fundamental catalyst triggering Selling Climax | Post-climax trading range established ~10.47–13.04 | Price has held above SC low for 3+ months — absorption positive | Upper resistance ~12.80–13.04 tested multiple times without sustained breakout | Lower support ~11.46–11.77 holding on declining volume | Aug 3–4 showing tentative recovery from LPS zone | Range duration (~3.5 months) consistent with base-building,Gap-down event (Apr 28) may reflect fundamental impairment — not purely technical | No confirmed SOS (Sign of Strength) breakout above ~13.04 yet | Price drifting lower within range Jul–Aug — potential Sign of Weakness if 11.46 breaks | Volume on rallies remains modest — lack of strong institutional buying evidence | Small float / thin volume days create noise (Aug 4: 2.8M) | Phase D markup not confirmed — premature to call full accumulation complete,23,7,6,7,16
NTST,Accumulation,High,62,Mixed,Primary uptrend from ~18.47 (Mar 27 low) to ~22.47 (Jul 17 high) | Current pullback from high suggests consolidation or minor distribution | Higher lows intact from March base | Recent weakness from 22.47 peak forming lower structure,Feb 12 high-volume surge (8.97M) produced strong result (upthrust initiation) | Jun 25-26 explosive volume (7.99M + 21.93M) with strong upward result = Sign of Strength / Jumping the Creek | Jul 17 push to 22.47 on moderate volume = diminishing effort at highs | Aug 3-4 low volume declining closes = reduced demand at top,Feb 12: climactic volume spike — potential Buying Climax or SOS initiation | Mar low volume decline = lack of supply | Jun 25-26 volume surge = decisive SOS breakout | Post-breakout volume declining on pullbacks = healthy | Aug 3-4: drying up volume on weakness = tentative support,Net Accumulation — base built Feb-Apr (~18.47–21.30 range) | Jun breakout confirmed accumulation thesis | Current phase = post-SOS normal reaction / Last Point of Support (LPS) forming | No confirmed distribution structure yet,Accumulation campaign completed in Feb-May trading range | CO executed markup via Jun 25-26 SOS | Currently testing commitment levels in minor consolidation near 21.39–22.47 | Absorption of supply ongoing,"Preliminary Support: Mar 25-27 (~18.47–18.65) | Selling Climax: Mar 20 (2.77M, sharp drop to 18.86) | Automatic Rally: Mar 30 – Apr 9 | Secondary Test: Apr 13-17 | Last Point of Support / Spring zone: May 27 – Jun 4 (~19.53–20.06) | Sign of Strength: Jun 25-26 (breakout, massive volume) | Back-Up Action / LPS: Jun 29 – Jul 2 | Markup continuation: Jul 6-17 | Potential minor distribution top: Jul 17 (22.47) | Current: Aug pullback testing LPS near 21.10–21.39",Mar 20 climactic drop on 2.77M established SC | Jun 25-26 SOS breakout on 30M+ combined volume is decisive structural event | Price has held above breakout level (~20.76) throughout markup | Jul 16-17 push to 22.47 on moderate volume suggests potential near-term resistance | Aug 3-4 low volume at ~21.10 area = possible LPS or minor shakeout | Overall structure consistent with completed accumulation and active markup phase,Jul 17-20 reversal from 22.47 high on elevated volume = possible upthrust warning | Aug declining closes with shrinking volume could precede wider correction | No confirmed higher high breakout above 22.47 yet | Mixed signal: some distribution characteristics near 21.78–22.47 zone | Small sample of Aug data limits conviction on current sub-phase | If 21.00 breaks on expanding volume = structural concern,23,10,6,6,17
BRSL,Transitional,High,62,Mixed,Primary downtrend from ~14.45 (Feb 11) to ~9.90 (Jul 30 low) | Descending lower highs and lower lows throughout | Compression and narrowing range from May–Jul suggesting absorption | Aug 4 high-volume reversal bar potentially marking Spring/Shakeout low,"Multiple high-effort down bars with minimal continuation (Mar 10, May 12–13, Jul 28) | Aug 4: extreme volume (4.4M) with wide spread up-close from ~10.26 low to 11.29 close = strong effort-result alignment to upside | Prior rally attempts on declining volume = weak demand phases",Climactic selling volume May 12–13 (3.5M–3.8M) = Selling Climax candidate | Volume dries up through Jun–Jul consolidation = Sign of supply exhaustion | Jul 28 volume spike (3.07M) on down bar = secondary test of supply | Aug 4 volume surge (4.4M) on bullish reversal = demand entering aggressively,Accumulation forming — consistent with Wyckoff Re-accumulation or Base Accumulation after prolonged markdown | Range ~10.00–11.50 acting as absorption zone | Composite Operator appears to be absorbing supply through Jun–Jul low-volume drift,Likely accumulating — suppressed price through Jun–Jul on thin volume | Engineered shakeout on Jul 28–30 and Aug 3 lows | Aggressive markup initiated Aug 4 with high participation volume,Potential Preliminary Support (PS): May 14 ~10.91 | Selling Climax (SC): May 12–13 ~10.75–11.53 range collapse on 3.5–3.8M vol | Automatic Rally (AR): May 21–22 ~11.05–11.20 | Secondary Test (ST): May 26–Jun 3 retest of SC zone | Sign of Weakness (SOW)/Shakeout: Jul 22–Aug 3 grind to 9.90 low | Spring: Aug 3–4 reversal from 9.90 with 4.4M volume surge | Last Point of Support (LPS): Pending confirmation above 11.30–11.50,"Feb–Mar range breakdown confirmed distribution from prior highs | May 12–13 capitulation on highest volume in dataset = likely SC | Jun–Jul price drifts lower on significantly reduced volume = classic Wyckoff test of supply | Jul 28 volume spike (3.07M) with down close = shakeout test | Aug 3 dips to 10.09 on 2.1M = no climactic selling = supply near exhaustion | Aug 4 explosive bar: open 10.45, low 10.26, high 11.55, close 11.29, volume 4.4M = strongest bullish signal in dataset | Price reclaims entire Jul decline in single session",Aug 4 close (11.29) has not yet confirmed above AR high (~11.46 May 22) — needs follow-through | Single-day reversal requires confirmation in subsequent sessions | Overall structure still in lower half of Feb–May range — full markup not confirmed | Risk of failed spring if volume does not sustain above 11.30 | Data ends Aug 4 — insufficient post,22,7,5,7,18
ECVT,Accumulation,Low,42,Clean,Topping structure from Apr highs (~14.42–14.97) followed by sustained markdown; current sideways chop at lower range (11.80–12.90) suggesting possible secondary test or continued distribution,"Bearish divergence dominant — High-volume days (Jun 25: 5.78M, Jun 26: 6.90M) produced sharp markdown with no recovery; upside attempts on elevated volume fail to hold gains","Volume spikes accompany markdown (Jun 25–26, Mar 17, Apr 10, Mar 20) | Upside volume diminishing progressively | Recent low-volume rebounds (Jul–Aug) suggest lack of institutional buying conviction",Net Distribution — Price declined from ~14.97 peak to current ~12.05 range | Jun 25–26 climactic selling (possible SC/AR) but no confirmed Spring | Current base fragile,Likely offloading supply — Distribution phase executed from Mar–May highs | Jun climactic volume may represent final supply dump | CO presence on buy side not yet confirmed in Jul–Aug,PSY: ~14.42 (Apr 13) | BC/UT: ~14.97 (May 14) | AR (Distribution): ~13.19 (May 29 area) | SOW: Jun 25–26 breakdown on massive volume | Possible SC: Jun 25–26 (~11.785 low) | Possible AR (Re-accum candidate): Jun 29–30 bounce | ST: Jul structure sideways 11.80–12.90,"Climactic selling Jun 25–26 (combined ~12.7M vol) most significant event in dataset | Price failed to recover above 12.90 post-SC | Mar 17 spike (5.08M) was likely UT in markup phase | Distribution TR: ~13.80–14.97 | Current TR: ~11.80–12.90 | Low-volume compression Aug 3–4 (821K, 251K) — indeterminate",No confirmed Spring or LPS yet | Aug 4 volume (251K) anomalously low — possible data truncation | Re-accumulation vs. continued distribution unresolved | Range too compressed and recent to confirm new phase | Avoid bullish bias without volume confirmation above 12.90+,20,7,5,6,19
DEI,Accumulation,Low,47,Clean,Primary uptrend from March 2026 lows (~9.12) to June/July highs (~12.82) | Current phase: lateral consolidation/potential re-accumulation or topping below 12.82 | Lower highs forming since July peak,"Upthrust on 2026-05-06 (high volume, wide spread, strong close) confirmed markup | Post-peak volume declining on rallies | Recent narrow ranges on low volume suggest absorption or waning demand",High volume climactic action on 2026-05-06 (5.08M) and 2026-04-16 (4.73M) marking buying climax zone | Volume contracting significantly in consolidation (sub-1.5M recent sessions) | Low volume on 2026-08-04 (420K) suggests institutional inactivity or thin tape,Prior accumulation confirmed Feb–Apr 2026 (~9.12–10.50 range) | Current structure suggests possible re-accumulation or early distribution below resistance ~12.82–12.97 | No definitive SOW (Sign of Weakness) or SOS (Sign of Strength) breaking range yet,Absorbed supply in Feb–Apr 2026 base | Marked up aggressively May–June 2026 | Now either resting (re-accumulation) or distributing quietly on low volume near highs,"PS (Preliminary Support): 2026-02-11–12 | SC (Selling Climax): 2026-03-20 (5.05M, wide down bar) | AR (Automatic Rally): 2026-04-07–16 | ST (Secondary Test): 2026-04-09 | SOS (Sign of Strength): 2026-05-06 breakout | BC (Buying Climax candidate): 2026-05-06–07 | Possible LPSY (Last Point of Supply): 2026-07-07–08 sharp reversal from 12.79 | UT/UTAD candidate: 2026-06-09 (12.74) and 2026-07-15 (12.97)",Markup from 9.12 to 12.97 = ~42% advance | Current price ~11.90–12.05 represents pullback from highs | Range compression post-July with shrinking volume | Multiple failures above 12.50–12.80 suggest resistance | Feb–Apr base was clean textbook accumulation | May–June advance showed strong SOS characteristics | July–August shows distribution-like behavior with lower highs and volume dry-up,No confirmed SOS breaking above 12.97 to resume markup | Lower highs since July 15 (12.97 → 12.79 → 12.57 → 12.28) suggest weakening | Volume on rallies declining — demand not expanding | 2026-07-07–08 sharp drop from 12.79 to 11.63 possible SOW | Thin volume on 2026-08-04 (420K) unreliable for structural conclusions | Distribution cannot be ruled out without clear re-entry SOS above 13.00,19,8,6,7,20
PTY,Accumulation,Low,42,Clean,Primary downtrend from 13.15 (Feb) to 11.58 (Mar low) | Subsequent range-bound action 11.58–12.35 | Series of lower highs within range | Current price near lower band of range,"Downward effort (volume spikes) yielding price decline Mar 3 (3.53M, large range) confirms supply | Rally efforts (Mar 31, Apr 1) show price response but quickly fade | Recent volume expansion on down days (Jun 22: 2.53M | Jul 14-15: elevated) with minimal price recovery = supply dominance","High volume on break-down bars (Mar 3, Mar 9, Mar 20) | Declining volume on rallies = weak demand | Volume spikes on down-tests (Jun 22, Jul 14-15) without price recovery = bearish | Recent Aug 3-4 volume uptick (1.84M, 2.21M) on narrow range = inconclusive absorption or renewed supply",Leaning Distribution or Failed Re-Accumulation | No sustained upthrust above range highs | Lower highs persist | Support tests (11.58–11.60 zone) have held but demand insufficient to launch markup,Appears to be distributing or holding supply overhead | No signs of aggressive absorption driving markup | Tolerating slow price erosion = bearish bias,Preliminary Supply (PSY): ~13.15 Feb 11 | Buying Climax (BC) absence — decline orderly suggesting prior distribution | Selling Climax (SC): Mar 3 high volume wide spread down bar 12.34→12.54 close | Automatic Rally (AR): Mar 31 12.06 | Secondary Test (ST): Apr 8-9 12.30-12.35 zone | Sign of Weakness (SOW): Multiple — Jun 22 break | Last Point of Supply (LPSY): Jul 7-10 12.09-12.13 zone | Back-Up to Creek (BUEC) failure: Price cannot sustain above 12.10,Range established 11.58–12.35 | Upper resistance ~12.30–12.35 rejected repeatedly | Current price 11.76 pressing toward lower range support | 11.58–11.65 is critical support — breach confirms markdown | Aug 3-4 clustering near 11.76 on rising volume = decision zone | No spring or shakeout confirmed below 11.58 yet | Rally from Mar 31 exhausted by May 8 at 12.35 | Each subsequent rally lower = distribution ladder,"No confirmed Spring — premature accumulation call dangerous | Price below mid-range = bearish default | Multiple LPSY formations suggest overhead supply heavy | Failed markup after AR = re-distribution more likely than accumulation | Volume on recent down moves exceeds up moves = net supply | If 11.58 breaks on volume, markdown phase activation | Low confidence due to ambiguous absorption signals at lows",18,8,7,8,21
AKR,Accumulation,Low,52,Mixed,Broad uptrend from ~18.75 (Mar-27 low) to ~23.03 (Jul-29 high) | Current pullback from 23.03 high toward 21.66 support | Lower highs forming post Jul-29 | Micro downtrend in progress,"Aug-04 large spread down on elevated volume (effort down, result confirming weakness) | Jun-10 climactic volume (6.7M) with price drop = selling pressure absorbed but no immediate recovery | Jul-29 upthrust attempt on 2M volume failed to hold above 23.00",Climactic spike Jun-10 (6.7M) = potential Buying Climax or Selling Climax depending on context | Elevated volume Jun-24/26 on narrow spread = absorption | Jul-29 high-volume upthrust = supply entering | Aug-04 volume expansion on down day = distribution pressure | Overall volume contracting into recent highs = lack of demand,"Mixed — prior accumulation base Mar (18.75–19.50) confirmed | Rally into Jul = markup | Recent action (Jul-22 onward) shows distribution characteristics: lower closes, supply on rallies, demand drying up",Appears to be distributing into strength post Jul-17 breakout | Supply being introduced on rallies above 22.30–22.70 | Possible re-distribution range forming 21.66–23.03,SC (Selling Climax): ~2026-03-27 @ 18.75 | AR (Automatic Rally): ~2026-04-07–04-17 | ST (Secondary Test): ~2026-04-01 @ 18.89 | SOS (Sign of Strength): ~2026-04-08–05-06 | Markup Phase: Apr–Jul 2026 | BC (Buying Climax candidate): ~2026-07-29 @ 23.03 | UT (Upthrust): Jul-29 failed to sustain | SOW (Sign of Weakness): Jun-10 (6.7M sell-off) | Aug-04 breakdown below 22.00,Price rejected 23.00 resistance on high volume Jul-29 | Post-BC behavior shows lower highs and lower closes | Aug-04 close at 21.66 = return to prior breakout zone | Jun-10 anomalous volume (6.7M vs avg ~1.2M) = institutional activity (likely supply) | Range between 21.50–22.75 now acting as potential distribution zone | Original accumulation base (18.75–20.00) remains structural support,Phase identification uncertain — could be re-accumulation pullback OR early distribution | Jun-10 volume spike ambiguous (could be shakeout or climax) | Insufficient data beyond Aug-04 to confirm phase resolution | No clear LPS (Last Point of Support) confirmed yet | Aug-04 close at 21.66 risks breaking intermediate support — watch 21.30–21.50 zone | Markup from lows was strong but momentum fading — divergence risk,17,9,6,6,22
DHT,Accumulation,Low,52,Mixed,Broad uptrend (Feb–Mar peak ~20.55) followed by multi-month range/correction | Lower highs post-peak | Current range: ~16.35–19.9 | Recent structure forming higher lows from late June lows (~16.41),High volume on Mar-02 (13M) with poor follow-through (price reversed) = effort without result (PSY/BC candidate) | Jun-15 high volume thrust (7.85M) produced short-lived breakout = absorption | Jun-26 high volume (9.98M) on sharp reversal = supply entering or shakeout test | Recent low volume on rallies suggests weak demand but also diminishing supply,Volume contracted significantly through April–May consolidation | Spike on failed breakout attempts (Jun-22/Jun-26) | Volume drying up on pullbacks (late July–Aug) = constructive | No confirmed high-volume demand thrust to validate markup,Leaning Accumulation in lower range | Initial markdown from ~20.55 peak | Extended base-building ~16.35–18.9 | Tests of support holding above Jun-30 low (16.41) | No confirmed Sign of Strength (SOS) with volume yet,Appears to be absorbing supply in the 16.35–19.0 zone | Failed markup in Jun-22 (SOS attempt rejected) | Possible Spring/Shakeout on Jun-29/Jun-30 (16.41 low) | Currently re-testing mid-range resistance ~18.5–19.0,Preliminary Supply (PSY): Mar-02 ~20.55 | Buying Climax (BC): Feb-24/Feb-26 ~19.32–19.80 zone | Automatic Reaction (AR): Mar-06 ~17.65 | Secondary Test (ST): Mar-09/Mar-10 ~19.09 | Sign of Weakness (SOW): Mar-11/Mar-12 ~16.84 | Trading Range: ~16.35–19.9 | Potential Spring: Jun-29/Jun-30 ~16.41–16.53 | LPS Candidates: Jul-01/Jul-08 ~16.53–17.72 | Minor SOS Attempt: Jun-15 ~18.51 (unconfirmed),Price has respected ~16.35–16.41 as support on multiple tests | Volume contracting into current consolidation (17.9–18.6 zone) is constructive | Failure to exceed ~19.9–20.55 on prior attempts indicates supply still overhead | Aug-04 close 18.149 on elevated volume = minor weakness signal requiring monitoring | Range compression in July–Aug with narrowing spreads = coiling action,No confirmed high-volume SOS to validate Phase C completion | Overhead supply zone 19.0–20.55 remains untested with strength | Aug-04 down bar on rising volume may indicate renewed distribution | Multiple failed rallies above 19.0 reduce conviction | Low liquidity environment (volume <3M consistently) makes CO intent ambiguous | Premature markup call risk high without volume confirmation above 19.0,17,9,6,5,23
