symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,volatility,structural_events,composite_operator,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
SFL,Distribution,Medium,62,Mixed,Price advanced steadily from 7.65 to a peak near 12.94 before reversing sharply. The recent decline from peak levels and range-bound action suggest trend exhaustion and early distribution.,Large volume spike on the breakout bar produced diminishing upside follow-through. Subsequent high-volume down bars show effort confirming supply entering the market.,"Volume expanded aggressively on the markup phase and on key reversal bars near the top. Recent pullback bars carry elevated volume, suggesting supply dominance over demand.","Early base from 7.65 to 8.50 showed absorption and quiet accumulation. After markup completion near 12.94, price failed to hold gains and distribution appears underway.",Mixed,Preliminary Support base formed | Sign of Strength markup surge | Climactic volume near peak | Buying Exhaustion at high | Automatic Reaction from peak | Secondary Test of supply zone,The composite operator appears to have completed distribution near the 12.80 to 12.94 zone. Selling pressure is evident as price struggles to reclaim prior highs on reduced demand.,Sharp peak reversal on high volume | Price failing to reclaim highs | Elevated volume on down bars | Range contraction after peak | Demand weakening near resistance,Distribution not yet fully confirmed | Possible re-accumulation at support | Low-volume recovery attempts possible | Broader market could influence direction | Phase transition timing uncertain,21,6,5,5,11
PRVA,Accumulation,Medium,58,Mixed,"Price declined from mid-24s to lows near 20, then staged a recovery attempt. Multiple failed rallies and re-tests suggest a base is forming but structure remains unconfirmed.",High-volume selling in Jan-Feb produced lower prices but volume expansion on late-Feb spike showed buying interest. Recent upside volume is improving relative to price progress.,"Volume elevated on downside thrusts and climactic spikes, with notable absorption visible near lows. Recent rally carries above-average volume supporting potential demand presence.",Evidence of absorption near the 21-22 zone with repeated tests holding above prior lows. Distribution pressure from the Jan highs appears to have been largely absorbed by mid-cycle.,Mixed,Preliminary Support near lows | Selling Climax spike late Feb | Automatic Rally post-climax | Secondary Test of lows | Sign of Strength rally mid-April | Back Up Action consolidation,Operator appears to have absorbed supply through the Feb-Mar washout zone. Recent price recovery with rising volume suggests quiet accumulation giving way to early markup behavior.,Climactic volume spike marked potential SC | Price base forming near 21-22 zone | Rally from lows shows improving demand | High-volume shakeout in May reversed quickly | Recent price near prior resistance levels,No confirmed Spring or clear LPS yet | May shakeout not fully resolved | Structure mixed with multiple failed rallies | Price still below Dec-Jan highs | Low recent volume on latest session,21,6,5,5,12
PGNY,Accumulation,Medium,58,Mixed,"Price declined sharply from near 29 to lows around 16, then staged a base-building recovery back toward prior distribution levels. Higher lows and improving closes suggest structure turning constructive but not yet confirmed markup.","The climactic drop on massive volume in late February produced diminishing downside follow-through, suggesting selling exhaustion. The May gap-up on heavy volume marked a potential sign of strength with price sustaining gains.","Volume expanded on downside breaks early in the sequence, then contracted during the base, and expanded again on the upside thrust in May and June, consistent with accumulation volume signature.",Evidence of a selling climax and secondary test in the 16 to 18 range supports accumulation framing. Recovery from lows with improving price action and volume on up days suggests institutional absorption.,Mixed,Upthrust Near Highs | Selling Climax on Extreme Volume | Secondary Test of Lows | Spring Near Support Zone | Sign of Strength Gap Up | Backing Up Action Post Breakout,Operator appears to have absorbed supply in the 16 to 18 range base. Markup initiation is suggested by the May volume surge and sustained higher price levels into June.,Climactic volume marked probable selling exhaustion | Base formed in 16 to 18 support zone | May gap signaled potential markup initiation | Price recovering toward prior distribution levels | Volume expands on up days in June,No confirmed higher high structure yet | Recent price stalling near 27 resistance | Low volume on latest sessions raises concern | Prior distribution range may act as supply | Phase could revert to markdown if support fails,21,6,5,5,13
EFC,Accumulation,Medium,58,Mixed,"Price declined sharply from near 14.00 to lows near 11.28 before staging a recovery toward 13.60. The recovery shows higher lows and constructive price action, suggesting a base is forming after a prolonged markdown.","High-volume selling events produced diminishing downside progress over time. Recovery from lows occurred on moderate volume, indicating absorption rather than aggressive demand.","Volume spiked heavily on markdown and panic events, then contracted as price stabilized and began recovering. Recent sessions show low controlled volume on narrow ranges, consistent with a cause-building phase.","Evidence points toward accumulation following a significant markdown. Selling climax behavior observed at key lows, followed by gradual price recovery on declining supply.",Contracting,Preliminary Support identified | Selling Climax on spike volume | Automatic Rally off lows | Secondary Test of lows | Sign of Strength on recovery | Last Point of Support forming,Composite operator appears to have absorbed supply during the markdown and climax phases. Current tight ranging near resistance suggests quiet accumulation with potential markup preparation.,Sharp markdown from 14.00 to 11.28 | Climax volume on largest down bars | Recovery base forming above 11.50 | Contracting volatility on narrow ranges | Price approaching prior distribution zone,No confirmed breakout above resistance yet | Recovery volume remains moderate not strong | Prior distribution zone overhead near 13.80 | Multiple failed rallies suggest overhead supply | Phase confirmation requires stronger demand bars,21,6,5,5,14
NOMD,Accumulation,Medium,58,Mixed,"Price declined sharply from near 13.0 to lows near 8.99, then staged a recovery attempting to reclaim prior structure. The base-building phase shows choppy, range-bound action with higher lows forming slowly.","Heavy volume on the breakdown produced significant price decline, consistent with supply dominance. Recovery volume is moderate and uneven, suggesting demand has not yet overwhelmed supply decisively.","Volume spiked sharply on capitulation lows and climactic selling bars. Recovery phase shows declining volume on rallies and selective surges, with no clear sustained absorption signal yet.",Evidence of potential base formation after climactic selling near lows. Price is attempting to stabilize but distribution pressure lingers as rallies stall repeatedly below prior resistance zones.,Mixed,Climactic Volume Selling Bar | Selling Climax Low | Automatic Rally | Secondary Test | Failed Markup Attempt | Range Compression Near Lows,Composite operator appears to have distributed near the 12.90 to 13.08 zone before engineered markdown. Current behavior suggests cautious re-accumulation but no confirmed sign of strength yet.,Sharp breakdown with climactic volume confirmed | Recovery stalls repeatedly below 10.50 | Volume declines as price stabilizes near lows | No clear spring or test of spring visible | Higher lows forming but weak follow-through,No confirmed sign of strength yet | Distribution zone far overhead | Rally volume insufficient to confirm demand | Multiple failed breakout attempts visible | Low float liquidity may distort signals,21,6,5,5,15
DHT,Transitional,Medium,52,Mixed,"Price completed a strong markup from late December lows near 12 to a peak near 20.55 in early March, followed by a sustained pullback and range-bound action suggesting transition. Recent weeks show lower highs and lower lows with intermittent recovery attempts, indicating neither clear re-accumulation nor confirmed distribution.","The climactic volume spike at the March peak produced a swift reversal, showing effort without sustained upside result. Subsequent rallies on lighter volume failed to reclaim highs, while declines on elevated volume suggest supply is present.","Volume expanded aggressively during the markup phase and at the March climax. Post-climax volume remained elevated during the decline, then contracted during sideways consolidation. Recent June volume spike on upside bar suggests potential renewed interest but unconfirmed.","The early structure from December through January resembles accumulation with a base and breakout. Post-March price action shows characteristics of distribution or re-accumulation at a lower plateau, with no definitive resolution yet.",Mixed,Accumulation Base Breakout | Markup Climax with Volume | Automatic Reaction from High | Secondary Test of Resistance | Range Consolidation with Lower Highs | Late Demand Spike Near Support,"Composite operator appears to have distributed into the March climax after a deliberate markup campaign. Current behavior suggests testing of absorption capacity within the post-climax range, with no clear sign of renewed commitment to either direction.",Climax top formed near 20.55 with volume | Post-climax decline lost over 20 percent | Range consolidation persists below prior highs | Recent volume spike may signal renewed interest | Lower highs dominate post-peak structure,No confirmed re-accumulation base yet | Late volume spike needs follow-through | Overhead supply remains significant | Multiple failed rally attempts above 19 | Downtrend structure intact from March peak,19,6,5,5,16
IMAX,Transitional,Medium,52,Mixed,"Price experienced two sharp spike events followed by pullbacks, creating a volatile staircase pattern with no clean sustained trend. Structure alternates between brief markup thrusts and extended consolidation or decline phases.","Two high-volume spike days produced large upward moves but gains were not held, suggesting effort is not consistently rewarded. Recent volume expansion with upward closes in late May and June shows improving effort-to-result alignment.","Volume spikes accompanied sharp price surges on at least three occasions, then contracted during consolidation. Declining volume during sideways action suggests absorption rather than sustained demand.",Evidence of repeated base-building at lower levels followed by explosive upside reactions suggests institutional accumulation in quiet phases. Distribution characteristics visible near each spike high as price failed to hold and retraced significantly.,Mixed,Climactic volume spike and price surge | Sharp markdown from spike high | Secondary low retest near prior base | Renewed accumulation in tight range | Second volume surge breakout | New high attempt with expanding volume,"Composite operator appears to be accumulating in low-volume quiet ranges then engineering rapid markup phases. Repeated pattern of spike, pullback, and re-accumulation suggests controlled price management.",Two explosive volume-driven markup events | Each spike followed by significant retracement | Tight consolidation precedes each surge | Late June push to new highs on rising volume | Base structure holds above prior lows,No sustained trend confirmation yet | Spike highs show distribution behavior | Price remains volatile and range-bound overall | Third spike may face same fate as prior | Low confidence in phase durability,19,6,5,5,17
AUPH,Transitional,Medium,52,Mixed,"Price declined from 16.3 to lows near 13.5 then recovered to 16.2, forming a broad rounding base. Recent price action shows higher lows and a push back toward prior resistance, suggesting transition from markdown to early markup.",Large volume spikes on Feb 26 breakdown and May 7 drop produced limited sustained follow-through to downside. Recovery rallies on moderate volume suggest absorption rather than strong institutional buying.,"Volume expanded on key selling events and shakeout bars but recovery volume remains inconsistent. Elevated volume on Mar 23 and Jun 4 surges hints at periodic demand, yet overall volume lacks sustained accumulation thrust.",Extended base formed between 13.5 and 15.2 from late January through late March suggests quiet accumulation. Recent push toward 16.2 with narrowing spread signals possible re-accumulation or early markup attempt.,Mixed,Selling Climax near Feb 26 breakdown | Spring or Shakeout on Mar 19 low | Sign of Strength rally Mar 31 to Apr 6 | Secondary Test on Apr 29 pullback | Upthrust attempt Apr 23 | Last Point of Support Jun area,Operator appears to have absorbed supply during the extended low-volume base near 14.0 to 14.8. Recent markup attempt toward 16.2 suggests testing for supply before potential sustained advance.,Price recovered from 13.5 to 16.2 | Volume inconsistent on rallies | Broad base formed over months | Multiple shakeouts near lows | Resistance cluster near 16.5,No sustained markup volume confirmation | Multiple failed breakout attempts above 16.5 | Wide spread down bars on May 7 | Rallies fade quickly near resistance | Phase still transitional not confirmed markup,19,6,5,5,18
NTST,Transitional,Medium,52,Mixed,Price advanced from accumulation lows near 17.10 to a markup high near 21.30 before stalling and rotating lower. Recent price action shows loss of upward momentum with a series of lower highs forming below the peak.,Heavy volume on the Feb spike produced results but subsequent high-volume days near the top failed to extend gains. Declining price on average volume in the pullback zone suggests weakening demand rather than aggressive supply.,Volume expanded meaningfully during the Jan-Feb markup phase confirming institutional participation. Volume has dried up in the consolidation zone near 20.40 to 20.80 with periodic upticks on down days raising concern.,Early base from mid-Dec to mid-Jan showed classic absorption with tight ranges and low volume. The current zone near 20.00 to 20.80 shows mixed signals with neither clear re-accumulation nor confirmed distribution yet established.,Mixed,Spring near 17.10 | Sign of Strength rally to 21.30 | Buying Climax near 21.30 | Automatic Reaction off peak | Secondary Test of highs failing | Potential Last Point of Supply forming,The composite operator appeared active during the Jan accumulation base absorbing supply quietly. Current behavior near the 20.00 to 21.00 zone suggests possible testing of committed supply before a directional resolution.,Markup stalled near 21.30 with volume | Lower highs forming below peak | Volume drying up in consolidation | Jun weakness testing 20.00 support | No confirmed distribution structure yet,Peak volume Feb spike not confirmed higher | Multiple failed attempts above 21.00 | Jun selling pushing below 20.00 | Spread narrowing on up days | Loss of momentum from markup highs,19,6,5,5,19
ARI,Transitional,Medium,52,Mixed,"Price surged sharply from ~10 to ~11.20 on extreme volume in late January, then consolidated in a wide range between 10.27 and 11.24 for months. Recent sessions show softening closes and rising volume on down days, suggesting the uptrend is stalling.","The January spike showed strong effort with strong result. Post-spike, repeated high-volume sessions fail to push price meaningfully higher, indicating effort is not producing upside results.",Volume expanded dramatically on the January breakout then gradually normalized. Elevated volume on down and sideways days in March through June suggests absorption or early distribution pressure rather than accumulation.,"Initial phase showed classic accumulation characteristics below 10.15. Post-spike behavior shows flattening price with volume clusters on weakness, leaning toward early distribution.",Mixed,Spring and Test near 9.60 | Breakout on climactic volume | Secondary Test of breakout | Broad trading range consolidation | High-volume selling on weakness | Failed continuation above 11.24,The composite operator appears to have completed accumulation by late January and distributed into the markup. Current behavior near the 10.80 to 11.10 zone may reflect secondary distribution or re-accumulation testing.,Climactic breakout on massive volume | Post-breakout range bound for months | High volume on down days recently | Price failing to sustain above 11.20 | Late June volume spike on weak close,No confirmed distribution structure yet | Range could resolve to either side | Recent volume spike needs confirmation | Low liquidity days mixed with high volume | Phase transition risk is elevated,19,6,5,5,20
ENR,Transitional,Medium,52,Mixed,Price rallied from near 20 to 24.54 then broke down sharply to 16.37 before staging a partial recovery toward 20. Structure shows a failed markup leading into markdown with tentative base-building at lows.,"Heavy volume on the breakdown legs produced significant price damage confirming supply dominance. Recovery volume is moderate and price progress is limited, suggesting effort is not yet translating into sustained upside.","Volume expanded meaningfully on distribution and markdown phases. Recovery attempts show sporadic volume surges without follow-through, indicating absorption rather than committed demand.",Early period showed distribution characteristics near 22 to 24 zone. Extended markdown followed. Recent price action near 16 to 20 range suggests early-stage accumulation attempt but structure is not yet confirmed.,Mixed,Buying Climax near 24 | Automatic Reaction breakdown | Sign of Weakness markdown | Secondary Test of lows | Partial recovery rally | Supply re-emergence near 20,Composite operator appears to have distributed aggressively in the 22 to 24 range then drove price lower through markdown. Current behavior near lows hints at selective absorption but no clear re-accumulation campaign is confirmed yet.,Failed markup led to sharp markdown | Lows near 16 tested multiple times | Recovery stalling near prior resistance | Volume lacks conviction on bounces | Structure remains vulnerable to retest,No confirmed spring or LPS yet | Recovery volume unconvincing | Price below key prior support | Overhead supply still present near 20 to 22 | Transitional phase may resolve lower,19,6,5,5,21
NMRK,Transitional,Medium,47,Noisy,Price declined sharply from 17.8 area to 13.6 lows before staging a partial recovery. Recent sessions show range-bound action between 14 and 15.5 with no clear directional commitment.,"Large volume spikes on down bars in February and May produced lasting damage with little upside follow-through. Recovery rallies have occurred on declining volume, suggesting weak demand.","Volume surged on capitulation events and markdown bars. Post-climax volume contracted but remains elevated relative to the prior range, indicating unresolved supply.",Tentative absorption attempts visible near 13.6 to 14.0 lows but supply continues to re-emerge on rallies. No confirmed accumulation structure has formed.,Mixed,Preliminary Supply near highs | Buying Climax rejection at 18.25 | Automatic Reaction sharp drop | Secondary Test of lows | Rally into resistance | Lower high formation,Composite operator appears to have distributed aggressively between 17.5 and 18.25. Current behavior suggests testing of support rather than active accumulation.,Sharp climax drop from 17.8 to 13.6 | Volume spikes confirm supply dominance | Rallies consistently fail near resistance | Low closes on wide range bars | Recovery volume weak and unconvincing,No confirmed spring or shakeout yet | Supply re-emerges on each rally attempt | Wide price swings reduce structural clarity | High volume selling unabsorbed | Phase transition not confirmed,15,6,5,5,22
ARR,Transitional,Medium,42,Noisy,"Price peaked near 19.31 in mid-January then declined sharply into a multi-week markdown phase reaching lows near 15.32. Recovery from those lows has been gradual and range-bound, lacking decisive directional momentum.","Multiple high-volume sessions produced limited net price progress, especially during the March decline and subsequent recovery attempts. Rally efforts from late March onward show diminishing follow-through against moderate volume.","Volume surged on breakdown sessions confirming distribution pressure. Recovery volume has been subdued and inconsistent, with occasional spikes failing to sustain upside movement.",Early data shows distribution characteristics near the January high. Post-March lows show tentative re-accumulation attempts but no confirmed absorption. Current range behavior is inconclusive.,Mixed,January High Climax | Sharp Markdown Breakdown | Selling Climax Near March Low | Weak Rally Attempt | Range Compression Post-Recovery | Repeated Failed Upthrusts,Composite operator appears to have distributed near the January peak and facilitated markdown into March lows. Current behavior suggests cautious re-entry testing rather than committed accumulation.,Sharp breakdown from January peak confirmed | March low formed on extreme volume spike | Recovery rally lacks volume conviction | Price compressing in narrow range near resistance | Multiple failed attempts above 17.70,No confirmed spring or test structure | Recovery volume too weak for markup | Price failing at prior support turned resistance | Repeated range failures signal indecision | Broader downtrend structure not yet reversed,15,6,5,5,23
