symbol,market_phase,phase_confidence,structure_quality,research_score,structural_events,key_observations,caution_flags
SEM,Accumulation,Low,Mixed,0,"SC/SOS_Jan5-6 (breakout 14.65→15.47, volume expansion); LPS_Jan14-15 (pullback to 14.77, recovery to 15.42); MARKUP_Feb5-18 (sustained advance 15.28→16.59, expanding volume); BC/UTAD_Feb18 (16.59 peak, 1.02M); AR_Feb19-20 (sharp break 16.08→15.01, climactic volume 3.07M = Automatic Reaction); ST_Feb23-Mar2 (retest lows ~14.73–14.80, volume contraction); JAC_Mar3 (gap-up 16.26 on 10.67M volume = Jump Across Creek / Sign of Strength); ANOMALOUS_LOCK_Mar3-onward (price compressed 16.20–16.35 for weeks with massive irregular volume spikes — Mar 11: 19.19M; structurally unclassifiable under standard Wyckoff); CREEPING_MARKUP_Apr-Jun (slow grind 16.29→16.68, moderate volume = potential Last Point of Supply or LPS in re-accumulation)","1) The Feb 20 breakdown (3.07M volume, -1.00 point) followed by immediate recovery to 16.26+ on Mar 3 (10.67M) suggests a SPRING or Shakeout rather than true distribution, supporting re-accumulation thesis; 2) Post-Mar 3 price behavior (",
PGNY,Accumulation,Low,Clean,0,"BC(Jan-12,28.63,vol1.66M) | AR/SC(Jan-13,25.24,vol2.56M) | ST(Jan-15,24.31) | SOW_Distribution_Phase_B(Jan-20_to_Feb-26,declining_highs) | Major_SC/LPSY(Feb-27,16.755_low,vol5.21M_climactic) | Creek_Base(Mar-Apr,16.10-18.50,low_vol_absorption) | Spring_Test(Apr-10,16.10_low) | JAC/SOS(May-08,23.72_close,vol4.41M_explosive) | BUEC(May-11_to_May-22,22.24-25.10_retest) | LPS(Jun-03,24.70_low) | Markup_Continuation(Jun-12_to_Jun-18,26.63-27.36)","1) Feb-27 climactic selling (vol 5.21M, range 19.88-16.755) represents the definitive Selling Climax anchoring the accumulation structure; 2) Accumulation base held 16.10-18.50 for ~6 weeks with progressively declining volume confirming absorption; 3) May",
TH,Transitional,Medium,Mixed,0,,,
DEI,Accumulation,Low,Clean,0,,,
SGRY,Accumulation,Low,Mixed,0,,,
SLDE,Accumulation,Low,Clean,0,,,
NTST,Accumulation,Low,Mixed,0,,,
RLJ,Markup,Low,Mixed,0,"SC(2026-04-07,low=7.15,vol=3.61M)|AR(2026-04-09,high=8.03,vol=1.78M)|ST(2026-04-22/23,low=7.85-7.90,vol=moderate)|LPS(2026-04-27/28,range=7.95-8.13,vol=2.95M/1.91M)|SOS(2026-05-04/05,breakout=8.35-8.77,vol=6.18M/5.33M)|MARKUP_ACCELERATION(2026-05-20_to_2026-06-18,range=9.49-11.43)|PRIOR_BC(2026-02-11/12,high=8.56,vol=2.27M)|PRIOR_SOW(2026-02-27,close=8.02_from_8.63high,vol=4.22M)|DISTRIBUTION_RANGE(2026-01-22_to_2026-03-13,~7.27-8.63)","1) Full Wyckoff cycle visible: Distribution (Jan-Feb highs ~8.41-8.63) → Markdown (Mar-Apr, low 7.15) → Accumulation (Apr, SC at",
GOF,Accumulation,Low,Mixed,0,,,
EFC,Accumulation,Low,Mixed,0,"SC (Selling Climax): 2026-03-20 @ 11.28 low, volume 10,726,700 | AR (Automatic Rally): 2026-03-23 to 2026-04-02, peak ~12.04 | ST (Secondary Test): 2026-03-27 low ~11.54, reduced volume ~1,209,900 confirms SC | Phase B Cause-Building: 2026-04-06 to 2026-05-05, range ~11.77–13.33, volume contracting on dips | SOS (Sign of Strength): 2026-05-06 breakout, close 13.57 on volume 2,930,400 — highest volume in base since Jan sell-off, price clears AR high | LPS/Back-Up Zone: 2026-05-11 to 2026-06-18, price consolidates ~13.33–13.68 on declining volume (~665K–1,534K), holding above former resistance creek (~12.04–12.10)","1. The Jan 27 spike (9.35M volume, price drop from ~13.86 to 13.37) marks the initiation of aggressive supply/markdown — a clear Preliminary Supply / high-volume distribution event that preceded the full markdown. 2. The SC on Mar 20 is unambiguous: widest spread bar of the entire dataset, highest single-day volume (10",
SFL,Distribution,Low,Mixed,0,,,
TRIN,Transitional,Medium,Mixed,0,,,
LEG,Transitional,Medium,Mixed,0,,,
ENR,Transitional,Medium,Mixed,0,,,
ARI,Accumulation,High,Mixed,0,,,
ECVT,Distribution,High,Mixed,0,,,
NOMD,Accumulation,Low,Noisy,0,,,
DOLE,Accumulation,Low,Mixed,0,,,
TWO,Accumulation,Low,Mixed,0,,,
AVNS,Transitional,Medium,Mixed,0,,,
SMPL,Accumulation,Low,Mixed,0,,,
