symbol,market_phase,phase_confidence,structure_quality,research_score,structural_events,key_observations,caution_flags
RAMP,Accumulation,Low,Clean,0,"SC(Selling Climax)=2026-02-04[low:21.71,vol:884K], AR(Automatic Rally)=2026-02-06[close:23.21,vol:1.44M], ST(Secondary Test)=2026-02-11[low:22.69,vol:719K], ST2=2026-02-12[low:22.70,vol:939K], Spring_Candidate=2026-02-23[low:24.24 — shallow; note Creek=~25.80], LPS(Last Point of Support)=2026-03-25[low:25.33,vol:607K], SOS(Sign of Strength)=2026-02-26[close:27.26,vol:1.347M] + 2026-03-03[close:28.76,vol:1.016M], BU(Back-Up/LPS2)=2026-03-16 to 2026-03-27[range:25.15–27.72], Markup_Acceleration=2026-04-16 through 2026-05-08[progressive closes 28.22→30.38], JAC(Jump Across Creek)=2026-05-18[open:37.80,vol:13.097M — exhaustion gap or breakaway], Consolidation_Range=2026-05-18 to 2026-06-18[tight:37.24–37.92,declining volume]","1) The Feb 2026 accumulation base is textbook: SC→AR→ST→Spring area→SOS→LPS sequence with volume confirmation (selling volume dries up on tests, buying volume expands on SOS). 2) The May 18 gap (+$7.62 or ~25.6% single-day move) on 13.097M volume (21x average) is anomalous — likely news/catalyst driven; this represents a JAC (Jump Across Creek) or Buying Climax (BC) candidate requiring caution. 3) Post-gap consolidation (May 18–Jun 18) shows narrowing range ($37.24–$37.92), ~$0.68 spread, with volume declining from 13M → 1",
HE,Accumulation,Low,Mixed,0,,,
SHO,Distribution,Low,Mixed,0,,,
PEB,Distribution,Low,Mixed,0,"Selling Climax(SC)/Accumulation-Base: 2026-01-12 (12.95H, 5.48M vol); Spring/Shakeout: 2026-01-28 to 01-30 (11.26-11.29 low, vol contraction); Sign of Strength(SOS): 2026-02-06 to 02-10 (breakout 11.44→12.83, expanding vol); Secondary Test(ST)/LPSY: 2026-02-23 to 02-25 (12.04-12.24, vol dry-up); Jump Across Creek(JAC): 2026-02-26 (13.35 close, 5.0M vol); Shakeout/Spring-Test: 2026-03-12 to 03-13 (11.57-11.84, high vol flush); Markup SOS-Sequence: 2026-04-08 to 04-09 (13.38-13.64, 4.4M-3.5M); Preliminary Supply(PSY)/BC-Candidate: 2026-04-29 (14.72H, 9.23M vol — climactic); Buying Climax(BC): 2026-06-16 (19.39H,",,
BRSL,Accumulation,Low,Mixed,0,"PSY(2026-01-06 ~15.77), BC(2026-01-07 ~14.78 high-volume reversal bar), AR(2026-01-08 rally to 15.46), SOW_confirmed(2026-02-12 gap-break ~13.41 on volume 1.477M), ICE_break(2026-02-23 ~12.76 low on 2.216M), LPSY_cluster(2026-02-24_to_03-06 ~13.43–13.82 weak rally zone), Markdown_acceleration(Mar–May), SC(2026-05-12/13 volume 3.564M–3.845M price collapse to 10.75), AR(2026-05-21_to_06-12 rally ~10.42→12.19), ST_test(2026-06-15_to_06-17 pullback to 11.07 on 2.894M volume), Bounce(2026-06-18 ~11.07→11.31)","1) Selling Climax confirmed May 12–13 with highest volume in dataset (3.5M–3.8M) and wide-range down bars closing near lows — classic SC signature. 2) Automatic Rally followed immediately (May 21–Jun 12) recovering from 10.42 to 12.19 (~17%) on moderate volume — normal AR behavior. 3) Jun 17 pullback volume (2.89M) is notable — largest since SC — suggesting a Secondary Test (ST) of SC lows; price held above SC low (10.42), a constructive sign. 4) Jun 18 bounce from 11.07 on lighter volume is a preliminary positive response. 5) The trading range since May 20 (10.42–12.19) defines the preliminary accumulation boundary. 6) Prior distribution structure (Dec–Jan) was clearly formed with BC at 15.77 and",
NWBI,Accumulation,Low,Clean,0,,,
AUPH,Accumulation,Low,Mixed,0,,,
ARR,Accumulation,Low,Mixed,0,"BC: 2026-01-16 (19.31 high, 8.16M vol) | AR: 2026-01-30 (17.26 low, 7.51M vol) | SOW: 2026-03-09 to 2026-03-20 (range break, accelerating decline) | SC: 2026-03-20 (15.32 low, 7.68M vol) | AR-post-SC: 2026-03-23 to 2026-04-02 (15.43→17.14) | ST: 2026-04-06 to 2026-04-17 (17.09–17.64 range) | SPRING-candidate: 2026-05-15 to",,
SEM,Accumulation,Low,Clean,0,PS(Preliminary Support)=2025-12-26 range ~14.74; SC(Selling Climax)/AR=2026-02-20 low 14.53 high 15.62 on 3.07M volume; ST(Secondary Test)=2026-02-23 to 02-27 ~14.73-15.09; SOS(Sign of Strength)=2026-01-05 to 01-06 thrust to 15.47 and 2026-02-05 to 02-18 markup to 16.59; LPS(Last Point of Support)=2026-01-27 to 01-30 ~14.75-15.05; JUMP(Anomalous Absorption Event)=2026-03-03 gap to 16.27 on 10.67M; TR(Trading Range/Cause Building)=2026-03-03 to present 16.20-16.68; Potential UT(Upthrust)/SOW signals=2026-06-08 to 06-12 marginal new highs 16.57-16.68,,
PGNY,Accumulation,Low,Mixed,0,,,
TH,Transitional,Medium,Mixed,0,,,
DEI,Accumulation,Low,Noisy,0,BC(Buying Climax)=2026-01-06/07 ~11.54-11.68 vol 2.97M-1.77M | SC(Selling Climax)=2026-02-11/12 ~10.27-9.53 vol 6.41M-6.19M | AR(Automatic Rally)=2026-02-19/20 ~10.17-10.46 | ST(Secondary Test)=2026-03-02 ~9.61-9.72 | SOW(Sign of Weakness)=2026-03-20 ~9.25-9.30 vol 5.06M | LPS(Last Point of Support)=2026-04-01/02 ~9.04-9.23 | SOS(Sign of Strength)=2026-05-06 ~11.66-12.17 vol 5.09M | BUEC(Back-Up to Creek)=2026-05-13/22 ~11.37-11.74 declining vol | Continuation Markup=2026-06-01/10 ~11.47-12.82 | Potential UT/Pullback=2026-,,
SGRY,Accumulation,Low,Mixed,0,,,
SLDE,Distribution,Low,Mixed,0,"SC(Jan 23-28 ~15.75), AR(Jan 29-Feb 6 ~17.75), ST(Feb 9-23 ~16.59-16.67), SOS(Feb 24-26 explosive +18% on climactic volume 6M+), BU/LPS(Feb 27-Mar 5 ~18.5-19.5), Secondary Shakeout/Spring(Mar 20 ~15.95 on 8.67M volume), Re-accumulation Rally(Mar 23-Apr 17 ~15.95→19.75), UTAD/Buying Climax(Apr 29 20.17 on 5.35M volume with reversal), LPSY Formation(May-June progressive lower highs ~18.98→18.61→18.03), Distribution SOW(Jun 3-4 break to 16.03 on expanding volume)","1) The Feb 24-26 SOS was the dominant structural event — climactic volume (6M+) driving +18% in 3 sessions confirmed accumulation absorption was complete. 2) Mar 20 shakeout (8.67M volume, low 15.95) tested commitment and cleared weak hands before final markup. 3) Apr 29 UTAD at 20.17 showed classic distribution fingerprint: marginal new high, immediate rejection, 5.35M volume — highest in markup phase — classic supply overwhelming demand. 4) Post-UTAD price unable to reclaim 19",
NTST,Accumulation,Low,Clean,0,,,
RLJ,Distribution,Low,Clean,0,"Preliminary Support (PS): ~Jan 27-28 (7.26-7.27 low, elevated volume 2.15M/1.82M); Selling Climax (SC): Jan 28 close 7.27 on 1.82M volume; Automatic Rally (AR): Feb 4-11 rally 7.27→8.41 establishing trading range top; Secondary Test (ST): Mar 9 (7.43 low) retesting SC zone on declining volume 1.63M confirming absorption; Last Point of Support (LPS): Apr 7 (7.15 intraday low) on 3.61M volume — shakeout/spring characteristic with immediate recovery; Sign of Strength (SOS): Apr 8-17 rally 7.15→8.24 on expanding volume (2.17M→5.68M) breaking above trading range; Back-Up to Edge of Creek (BUEC): Apr 22-24 pullback 7.88-7.95 on declining volume confirming support; Markup Acceleration: May 4-8 gap-style expansion 8.35→8.95 on massive volume (6.18M, 5.33M, 4.56M, 4.62M, 4.44M) — institutional demand; Continuation SOS: May 20-29 breakout 9.12→10.10 with strong closes; Extended Markup: Jun 4-18 persistent advance 10.24→11.48 on steady institutional volume 1.6M-2.9M","Accumulation trading range was well-defined: support ~7.15-7.27, resistance ~8.35-8.56; Volume contracted progressively through Feb-Mar consolidation confirming institutional absorption of supply; The Apr 7 low (7.15) on 3.61M volume with immediate reversal is the highest-quality Wyckoff spring/LPS event in the dataset — strong cause built; Markup has been orderly with higher lows on pullbacks (7.95 Apr 22, 9.66 Jun 1) confirming institutional sponsorship; The May cluster (8.35-8.95 range) with 5 consecutive high-volume days signals major institutional","Potential Upthrust / Distribution Watch: Jun 17-18 printing 11.40-11.48 highs with volume 1.61M-2.67M — monitor for volume climax signs; Price extended ~54% from accumulation lows without significant correction since Apr 7 — climax risk increasing; May 29 produced a wide-spread down bar (10.02 open→9.73 close) on 3.50M volume (highest since markup began) — potential minor Buying Climax warning, though price recovered; Jun 8 showed 2.91M volume with a close BELOW open (10.51 vs 10.71 open) suggesting some supply entering; No clear Distribution structure confirmed yet but price entering zone requiring vigilance for Preliminary Supply (PSY) signals; Reward/risk ratio deteriorating for new long entries at current extension"
GOF,Distribution,Low,Clean,0,,,
EFC,Accumulation,Low,Mixed,0,"SC(Jan-27 ~13.12,vol=9.35M); Extended_Selling/AR_failure(Jan-30,vol=5.25M,low=12.72); Secondary_SC_low(Feb-02/03,low=12.37,vol=4.68M); AR_high(Feb-06/12,~13.01); ST_series(Feb-17_thru_Mar-06,declining_vol); Spring/Terminal_Shakeout(Mar-20,low=11.28,vol=10.73M_extreme); Test_of_Spring(Mar-23/27,low=11.31-11.54,vol=1.2M-2.5M_contraction_confirms); SOS_rally(Apr-06_thru_Apr-21,price_recovery_12.0_to_13.22,moderate_vol); LPS(Apr-22_thru_May-05,pullback_to_13.0-13.14,vol_declining); JAC/SOS_breakout(May-06,vol=2.93M,close=13.57_clears_AR_high); BU_retest_LPS(May-07_thru_Jun-18,range=13.33-13.68,vol_subdued)",1) Mar-20 Spring is the defining event — 10.73M volume (3-5x average) with intra,
SFL,Distribution,Low,Mixed,0,"PSY(Preliminary Supply): 2026-03-02 at 11.28 on vol 1.92M; BC(Buying Climax): 2026-05-12 at 12.90 on vol 2.71M (highest volume in distribution range); AR(Automatic Reaction): 2026-05-29 at 11.00 (drop from 12.90 to 11.00 = -14.6%); UT(Upthrust)/UTAD: 2026-05-20-21 at 12.86 on declining vol relative to BC; SOW(Sign of Weakness): 2026-05-22 to 2026-05-29 consecutive lower closes on expanding volume (1.81M, 2.04M, 1.51M, 1.34M, 1.37M); Secondary Test Distribution: 2026-06-09 to 2026-06-12 rally to 11.49 on moderate vol failing to reclaim 11.50+ (LPSY); SOS_prior_markup: 2026-02-11 gap+surge from 9.22 to 10.29 close at 10.00 on 5.76M vol confirmed markup; LPS(Last Point of Supply): 2026-06-12 at 11.49 rejected, subsequent 2-day decline to 10.81 on heavy vol (1.94M Jun 18)","1) Full Wyckoff cycle visible: accumulation base 7.67-8.56 (Dec-Jan) with tight price action and moderate volume suggesting absorption; 2) Markup phase confirmed by SOS on 2026-02-11 (5.76M vol, largest single-day volume in entire dataset, wide-spread up candle from 9.13 to close 10.00); 3) Distribution range established between approximately 10.75-12.90 (Feb 20 through May 21) with multiple tests of supply zone; 4) BC on May 12 at 12.90 shows classic climactic characteristics: price spike on 2.71M vol followed by immediate reversal (closed at 12.80, next day opened 12.78 and closed 12.42 on 1.83M vol); 5) UTAD/UT confirmed May 20-21 (12.86 high) on notably lower volume than BC (1.90M vs",
TRIN,Accumulation,High,Clean,0,,,
LEG,Accumulation,Low,Mixed,0,BC(Buying Climax)=2026-01-15@12.77/vol2.12M | AR(Automatic Reaction)=2026-01-20@12.13 | UTAD_attempt=2026-02-04@13.00/vol2.77M | SOW(Sign of Weakness)=2026-02-12@11.18/vol4.40M | SC1(Selling Climax-1)=2026-03-20@9.50/vol2.,,
ENR,Accumulation,Low,Mixed,0,,,
ARI,Distribution,High,Mixed,0,,,
ECVT,Accumulation,High,Mixed,0,,,
NOMD,Accumulation,Low,Clean,0,,,
DOLE,Transitional,Medium,Mixed,0,,,
TWO,Accumulation,Low,Mixed,0,,,
AVNS,Accumulation,Low,Mixed,0,,,
SMPL,Accumulation,Low,Mixed,0,,,
