symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
CLDX,Accumulation,High,72,Mixed,Bullish markup from ~22.46 (Feb-17 low) to 35.47 (Jun-26 high) | Higher highs and higher lows intact through April–June | Recent pullbacks shallow and supported | Climactic volume on Jun-26 warrants caution,"Feb-25 massive effort (3.79M vol, +6.27pt) = strong result: JAC/SOS signal | Mar-20 high effort (3.24M) with upside result confirms markup | Apr-02 ultra-high effort (5.17M) with modest net result = absorption | Jun-26 climactic effort (4.79M) at new highs = potential buying climax (BC)",Accumulation phase: declining volume on weakness (Jan-20: 464K) | SOS: Feb-25 spike confirms supply absorption | Markup: sustained above-average volume on up-thrusts | Jun-18 (2.38M) and Jun-22 (1.96M) elevated on rally | Jun-26 (4.79M) climactic — highest volume in markup phase at price high,Accumulation: Jan–Feb 2026 (~22.46–26.50 range) | Creek break: Feb-25 with explosive volume | Re-accumulation: Mar consolidation 28.54–31.85 | Secondary re-accumulation: May–Jun 28.56–31.70 | Possible early distribution forming: Jun-18 to Jun-26 cluster at highs,CO accumulated aggressively Jan–Feb at lows | Orchestrated SOS Feb-25 through markup | Re-accumulated on Mar and May pullbacks | Jun-26 climactic bar suggests CO may be distributing into public buying at highs,"SC (Selling Climax): Feb-05 (1.22M, low 22.55) | AR (Automatic Rally): Feb-09/10 bounce to 25.24 | ST (Secondary Test): Feb-13 (1.19M, low 22.51) | SOS (Sign of Strength): Feb-25 (+6.27pt, 3.79M vol) | LPS (Last Point of Support): Mar 28.54 area | BU (Back-Up): May 28.56 retest | JAC (Jump Across Creek): Feb-25 | Possible BC (Buying Climax): Jun-26 (4.79M, high 35.47)",Full Wyckoff cycle visible: PS→SC→AR→ST→SOS→LPS→Markup | Three-phase re-accumulation structure supports trend | Jun-26 high-volume climactic bar at price extreme is most critical signal | Price advanced ~58% from SC low (~22.46) to Jun-26 high (35.47) | Support base now ~28.50–30.00 if distribution develops,Jun-26 buying climax signal (4.79M vol at new high) may signal Phase A of distribution | Jun-18 wide spread on 2.38M with upper wick — potential UT (Upthrust) precursor | Apr-02 (5.17M) absorption bar in prior range — hidden supply | No confirmed distribution structure yet but vigilance warranted above 34.50 | If price fails to hold 33.00–33.50
WTTR,Accumulation,High,62,Mixed,Primary uptrend from Jan lows (~10.75) to May peak (~20.48) | Secondary distribution topping structure May–June | Late June showing potential renewed buying interest,"Strong effort-result harmony Jan–Apr (rising price, rising volume on breakouts) | Effort-result divergence May–June (high volume on down days, rally attempts showing reduced follow-through) | Jun-26 high volume surge on price advance — notable","Climactic volume Feb-18 (3.3M, spike to 15.45) — Buying Climax candidate | Feb-20 ultra-high volume (9.75M) on sharp reversal — Automatic Reaction confirmed | Apr-22/24 volume expansion on markup breakout | May-6 high volume with wide spread suggests renewed momentum | May-19/20 volume elevated near highs with price stall — Distribution Sign of Weakness candidate | Jun-18 spike (3.4M) on sharp sell-off — possible Secondary Test of supply | Jun-26 surge (8.99M) on strong advance — potential re-accumulation spring/SOS or new markup leg","Early Jan–Feb: Accumulation Phase (C/D) with spring near 10.75 | Feb-18 Buying Climax | Feb-20 Automatic Reaction | Feb–Mar: Secondary Tests, re-accumulation trading range 12.5–14.0 | Apr–May: Markup Phase (Phase E) | Late May–June: Distribution Phase A/B forming | Jun-26 breakout ambiguous — could be UTAD or new markup",Absorbed supply aggressively Jan–Feb | Marked up strongly Apr–May | Showing distribution behavior May–June with orderly profit-taking | Jun-26 activity suggests possible re-entry or stop-clearing before next directional move,"Preliminary Support: Jan-07/08 (~10.75) | Selling Climax / Spring: Jan-07 low 10.75 | Buying Climax: Feb-18 (15.425 high, 3.3M vol) | Automatic Reaction: Feb-20 (9.75M vol, drop to 12.51) | Secondary Test: Feb-23/24 | Sign of Strength (Re-acc): Apr-22 (16.41, 3.8M vol) | Last Point of Support: Apr-27/28 (~16.40) | Upthrust/SOW: May-20/21 (price stall near 20.48) | Secondary Test Downside: Jun-18 (3.4M vol, 17.32 low) | Potential SOS/UTAD: Jun-26 (8.99M vol, 19.66 close)","Ten-week markup from ~10.75 to ~20.48 represents ~90% advance | Feb-20 reversal (9.75M vol) was single largest volume event — marked climax exhaustion | Distribution range roughly 18.00–20.48 forming since May-20 | Jun-26 breakout above 19.66 on 9M vol is highest volume since Feb-20 — critical inflection | If Jun-26 holds and follows through, re-accumulation thesis strengthens | If Jun-26 fades, UTAD/distribution scenario confirmed",Jun-26 volume spike (8.99M) requires follow-
KMT,Accumulation,Low,38,Mixed,Macro uptrend Jan→Feb (28.83→41.74) followed by progressive lower highs and lower lows from Feb→Jun; current structure bearish with weak bounce attempts,Multiple high-volume bars produce minimal net price progress (Feb-12 spike to 41.74 reverses; May-06 gap to 43.81 fully rejected within 2 days; Mar-12 4.5M vol closes weak) — effort not rewarded on upside,Climactic volume on rallies followed by diminishing follow-through | Selling volume dominates on breaks | Recent Jun volume moderate with no conviction buying | Absorption incomplete,"Distribution dominant — high-volume upthrusts (Feb-04, May-06) rejected | Successive lower highs confirm supply overhang | No clear creek re-cross with sustained volume | Possible minor re-accumulation zone 31.72–36.58 (Jun) but unconfirmed",Distributing — CO appears to have distributed heavily Feb–Mar near 40–43 range | Current action suggests CO testing demand at lower levels | No clear sign of CO accumulation at current prices,PSY: ~34.84 (Jan-15) | BC: ~34.14 (Feb-04 gap run) | AR: ~38.37–38.46 (Feb-18) | UT/UTAD: 41.74 (Feb-11) | SOW: Mar-06 break to 36.85 | LPSY: Apr zone 39–40 | Secondary SOW: May-06 spike to 43.81 fully rejected (major UTAD) | ICE break: Jun-01 31.72 low | Possible ST (Spring candidate): Jun-01 31.72,May-06 gap-up to 43.81 on 3.4M vol fully reversed to 36.10 within 2 sessions — classic UTAD/bull trap | Price consistently unable to sustain above 40 after Feb peak | Jun trading range 31.72–36.83 potentially forming base but supply still present | Volume declining on recoveries within Jun range — not yet bullish | Lower highs: 41.74→40.92→39.82→36.83 confirm distribution structure,Jun-01 low (31.72) may represent Spring/shakeout — watch for volume expansion on upside | No confirmed SOS (Sign of Strength) bar with follow-through | Range 34–37 could be re-accumulation OR continuation distribution | May UTAD failure is a major bearish structural signal | Premature bullish bias would be dangerous without volume-confirmed breakout above 37+
NMRK,Accumulation,Low,42,Clean,Primary downtrend from ~18.25 (Jan 22) to lows ~13.57 (Mar 12) | Partial recovery to ~16.93 (Apr 21) | Secondary deterioration to ~13.62 (Jun 1) | Current base-building attempt 13.62–15.64,Feb 11–12 climactic volume (2.3M / 5.2M) with extreme spread = Selling Climax candidate | Mar–Apr low-volume rally on narrowing spreads = weak upthrust / low effort result | Jun 26 spike volume (5.47M) on upper range = potential Sign of Strength or Upthrust Under Distribution,Elevated panic volume Feb 11–12 (SC) | Declining volume on Mar–Apr recovery (weak demand) | Elevated supply volume Apr 21–May 1 | Drying volume May–Jun base = absorption possible | Jun 26 anomalous volume spike = significant event requiring confirmation,"Tentative Re-Accumulation structure forming 13.57–15.64 | Multiple tests of lows (Mar 9–12, May 19–Jun 1) suggest Support Zone | However repeated failure to hold above 15.50–16.00 suggests distribution pressure remains | Ambiguous: could be Terminal Shakeout or Lower High Distribution",Ambiguous intent | Early phase: aggressive distribution Jan–Feb | Mid phase: possible absorption Mar–Apr | Late phase: contested control | Jun 26 volume suggests CO activity but direction unconfirmed,PSY (~17.82 Jan 7) | BC (~18.25 Jan 22) | AR (~16.28 Feb 3) | SC (~14.33 Feb 12 / 13.57 Mar 12) | Automatic Rally (~15.57 Feb 18) | Secondary Test (~13.71 Mar 9) | Minor Spring (~13.62 Jun 1) | Possible SOS attempt Jun 8–9 | Potential LPS Jun 15–25 | Jun 26 high-volume test = Unconfirmed SOS or UT,Jan–Feb: Clean distribution from 17.5–18.25 range with high volume climax | Feb 11–12 represent highest-volume sessions = likely Selling Climax | Mar structure shows Creek at ~15.10–15.30 | Apr rally failed to sustain above 16.65 = No Confirmed SOS | May renewed weakness broke Apr support = re-test of base | Jun 1 low (~13.62) = potential terminal shakeout (Spring Type 2) | Jun 26 volume (5.47M) on close of 15.27 = most significant recent event | Current price ~15.27 near Creek resistance,No clean Phase E markup confirmed | Jun 26 spike volume could be Upthrust (distribution) not SOS | Price remains below Jan–Feb distribution zone (16.28–18.25) | Multiple lower highs since Jan 22 = bearish macro structure intact | Thin closes on recent rallies suggest weak demand | Re-entry into prior distribution range not achieved | Phase identification carries high ambiguity due to overlapping structure | Do not treat Jun 26 as confirmed breakout without follow-through on reduced volume
HOG,Accumulation,High,62,Mixed,Macro downtrend (Jan–Mar) bottomed near 17.11 | Strong markup from Mar low (~17.11) to recent highs (~26.50) | Current lateral consolidation between ~23.20–26.50 suggests re-accumulation or distribution forming,"Feb 10 spike (9.68M vol, wide range) = significant effort with good upside result (Sign of Strength candidate) | May 5 (6.45M, 25.11 close) strong effort, result positive | Jun 26 (14.38M, narrow close ~25.19) = HIGH effort, POOR result — bearish divergence / possible UTAD or supply entering","Volume contracted during markup phases suggesting ease of upward movement | Volume surged on wide-range down days (Feb 23–27, Jan 12) confirming supply | Jun 26 anomalous volume spike on narrow range and close near low = critical warning signal | Recent consolidation (May 28–Jun 25) shows declining volume = absorption or lack of demand",Accumulation confirmed Mar lows (~17.11) with Spring-like behavior | Markup phase Apr–May confirms demand absorption | Jun price zone (~24.50–26.50) shows signs of potential distribution or re-accumulation — unresolved,Likely finished primary accumulation at Mar lows | Now testing distribution feasibility at upper range | Jun 26 volume anomaly suggests CO distributing into retail strength or shaking out weak hands,"Selling Climax (SC): ~Feb 27 / Mar 2 (17.11–17.93 low, elevated vol) | Automatic Rally (AR): Mar 3–4 (17.30–19.63) | Secondary Test (ST): Mar 9–13 (re-test of lows ~17.54) | Spring: Mar 17–18 (17.09–17.10) | Sign of Strength (SOS): Mar 24–26 / Apr 9 (breakout ~22.66–22.77) | Last Point of Support (LPS): Apr 6–8 consolidation | Upthrust After Distribution (UTAD) candidate: Apr 17–21 (~23.91–24.68) | Re-accumulation Range: ~23.00–26.50 (Apr 22–Jun 26) | Potential Upthrust / Distribution Test: Jun 26 (14.38M anomalous volume spike, close weak at 25.19)",Mar 17–18 low (17.09) = probable Spring | Apr–May markup = Phase D SOS behavior | Jun consolidation range = new TR forming ~23.20–26.50 | Jun 26 extreme volume (14.38M vs avg ~2–3M) on weak close = most critical event in dataset | Price rejected near 26.50 resistance repeatedly | Declining volume on recent highs = weakening demand | Structure resembles either re-accumulation pause or early distribution,Jun 26 anomalous volume (14.38M) with poor close = strong supply signal / possible UTAD | Price failing to hold above 26.00 on multiple attempts | Volume drying up on rallies post-May 11 peak (~26.99) | If 23.00 support fails on high volume = distribution confirmed | Markup may be exhausting — watch for SOW (Sign of Weakness) break
WERN,Distribution,High,62,Mixed,Uptrend from Jan low (~27) to Jun high (~45) now showing topping behavior | Lower highs forming post-Jun-09 peak | Support cluster ~40.7–41.0 being tested,Feb-04/05 high volume (~2.3–2.9M) with price stalling at 37–38 = effort without result (supply absorption) | Apr-29 gap-up spike (2.2M) with immediate rollback = UTAD signal | May-14 thrust (2.4M) with strong result = demand still present | Jun-26 high volume (3.3M) wide spread close mid-range = absorption/supply re-entry,"Volume elevated on down thrusts (Feb-06, Feb-12, Mar-06, Mar-11–13) = selling pressure | Volume declining on rallies post-Jun peak = weakening demand | Jun-26 anomalous volume spike on wide-range bar closing mid = distribution signal | Low volume consolidation May-22–Jun-04 = lack of committed buying at highs","Jan–Mar: Accumulation (Spring at 26.70, Mar-13 low) | Apr–May: Markup phase | Jun: Distribution topping structure forming | Net bias shifting to Distribution",CO accumulated Jan–Mar lows (~26.7–28) | Marked up through Apr–May | Distributing into Jun strength (~43–45 range) | Jun-26 high-volume wide-range bar likely CO offloading into retail buying,Selling Climax (SC): Mar-13 low 26.70 | Automatic Rally (AR): Mar-23 bounce | Spring: Mar-19/20 low ~26.62 | Sign of Strength (SOS): Apr-17/20 breakout | Last Point of Supply (LPSY): Jun-09 high 45.27 | Buying Climax (BC): Jun-08/09 ~44.75–45.27 | Upthrust After Distribution (UTAD): Apr-29 gap 38.46 (early signal) | Secondary Test (ST in distribution): Jun-15 43.07 | Sign of Weakness (SOW): Jun-17 drop to 39.68,"Jan–Mar base formed with clear SC/Spring/SOS sequence | Strong markup Apr–May with clean higher highs | Jun-09 high (45.27) likely BC of distribution range | Jun-17 SOW bar (42.12→39.68, -5.6%) on elevated volume signals supply dominance | Jun-26 3.36M volume spike with close at 42.77 (well off high) = aggressive distribution | Price currently retesting support ~40.7–41.0 — critical zone",Jun-26 volume spike (3.36M) is largest in dataset — abnormal and requires confirmation of direction | Structure could represent re-accumulation if 40.7 support holds with low volume | No confirmed lower low below Mar lows yet — markdown not fully confirmed | Apr-29 UTAD gap partially filled but price recovered — mixed signal | Short dataset window limits full phase cycle confirmation
DRH,Markup,High,78,Clean,Bullish | Higher highs and higher lows maintained throughout | Base ~9.00 → Current ~12.47 (+38.5%) | Multiple consolidation plateaus acting as stepping stones,Early phase: strong effort = strong result | Mid phase: moderate effort = good result | Late phase (Jun): declining volume on new highs = weakening effort-result relationship | 2026-06-26 spike volume (7.35M) on modest range = potential climactic effort,Accumulation base: moderate volume 1.4M–2.5M | Jan 27 high-volume reversal bar (6.7M) = shakeout/test | Feb 4 thrust (7.0M) = Sign of Strength | Apr–May markup: declining volume on advance (healthy) | Jun 26 volume spike (7.35M) = potential Buying Climax warning | Overall volume trend declining on new highs = caution,Early accumulation: Jan–Feb base building 9.00–9.25 | Distribution signals emerging: Jun high-volume spike at new highs | No confirmed distribution yet but climactic conditions present,Absorbed supply Jan–Feb in 9.00–9.25 range | Engineered shakeout Jan 27 (6.7M selloff bar) | Markup initiated Feb 4 with SOS thrust | Systematic re-accumulation at each consolidation plateau | Possible late-stage distribution beginning at 12.25–12.54 zone,"SC (Selling Climax): Jan 27 (6.7M high-volume down-close bar) | AR (Automatic Rally): Jan 28–Feb 4 | ST (Secondary Test): Feb 3 base retest | SOS (Sign of Strength): Feb 4 (7.0M thrust bar 9.34→9.63) | LPS (Last Point of Support): Mar–Apr base 9.20–9.50 | Markup Phase: Apr 8 breakout above 9.82 | SOS continuation: May 1, May 26–Jun cluster | Potential BC (Buying Climax): Jun 26 (7.35M, 12.25→12.54 range)",Price advanced ~38.5% from base | Jun 26 volume (7.35M) is highest single-day volume in entire dataset = climactic warning | New highs being made on progressively lower volume before Jun 26 spike | Jun 17 narrow-range bar on declining volume at highs = distribution symptom | Consistent higher-low structure intact but momentum narrowing | Range compression at highs (11.80–12.54) with elevated volume = potential supply entering,Jun 26 volume spike (7.35M) at new high = possible Buying Climax | Price making new highs with declining average volume (trend exhaustion) | Jun 17 upper-wick rejection at 12.12 on low volume | Narrow price spreads at highs = supply absorption concern | No confirmed AR or ST post-climax yet — watch for reversal bar and volume dry-up | Risk of Phase D distribution entry if price fails to hold above 12.19 support
ATEN,Distribution,High,72,Clean,"Primary uptrend intact (~17.00 to ~35.00, +105% range) | Higher highs and higher lows dominant | Steepening slope in recent sessions | Short-term consolidation zones acting as stepping stones | Recent acceleration suggests possible blow-off behavior",Early markup (Feb-Mar): strong effort yielding strong result | Mid markup (Apr-May): moderate effort with sustained result | Late markup (Jun): high volume with mixed closes suggesting absorption | 2026-02-05 climactic thrust (vol 1.98M) initiated markup | 2026-04-16/17 secondary thrust (2.28M/2.21M) extended trend | 2026-06-18 anomalous spike (3.79M) on narrow-ish close = warning signal,Volume expanded consistently with price advance confirming markup | Climactic volume events: 2026-02-05 (1.98M) | 2026-03-16 (3.45M) | 2026-03-20 (4.59M) | 2026-04-16 (2.29M) | 2026-06-18 (3.79M) | 2026-06-26 (2.20M) | Recent volume surges on upper range bars warrant caution | No clear volume dry-up on rallies yet but narrowing range signals emerging,"Accumulation phase: Jan 2026 (17.00–17.81 range, ~3 weeks of base building) | Distribution characteristics emerging at highs: Jun 2026 wide spread bars with heavy volume but closes off highs | 2026-06-12 (open 32.99, close 31.76 on 1.10M) = bearish reversal bar | 2026-06-02 climactic bar (32.95 high, close 32.64, vol 1.72M) potential Buying Climax signal",Accumulated aggressively Jan 2026 in 17.00–17.80 TR | Marked up through Feb-Mar with force | Used Apr-May consolidations to re-accumulate | Currently distributing into strength at 31–35 range | Late campaign stage with possible secondary distribution TR forming,SC (Selling Climax): 2026-01-20 low 16.80 | AR (Automatic Rally): 2026-01-22 to 2026-01-27 | ST (Secondary Test): 2026-02-03 to 2026-02-04 | SOS (Sign of Strength): 2026-02-05 gap-thrust +10.3% | LPS (Last Point of Support): 2026-02-17 to 2026-02-27 pullback | Secondary SOS: 2026-04-16 to 2026-04-17 thrust | Potential BC (Buying Climax): 2026-06-02 at 32.95 | Potential UT (Upthrust): 2026-06-12 open 32.99 close 31.76 | Potential SOW (Sign of Weakness): 2026-06-05 close 30.57 off highs,Price advanced ~105% from accumulation base (~17.00) to current highs (~35.00) | Three distinct thrust sequences confirm composite operator involvement | Volume climaxes at 2026-03-20 (,
DNOW,Accumulation,High,62,Noisy,Primary Downtrend (Jan→Feb climax) | Secondary Recovery/Re-Accumulation (Mar→Jun) | Higher lows forming but no confirmed markup,Feb-20 climactic volume (10.6M) with large spread down = Selling Climax effort confirmed | Post-SC rallies showing diminishing volume on up-moves = weak demand | May-07 high volume (8.3M) shakeout with poor close = Secondary Test / Spring-like behavior,Jan high-volume distribution (6.4M Jan-16 near highs) | Climactic selling Feb-20/23 (10.6M + 14.2M) = SC | Volume declining into range (Mar–Jun) = absorption | Jun-18 elevated volume (7.3M) mid-range = potential shakeout/test | Jun-24 spike (6.5M) on down-bar = continued testing,Net Accumulation bias developing post-SC | Range ~11.10–13.50 established | Repeated tests of lower range (11.1–11.35) holding = support building | Upper range resistance ~13.80–14.00 being approached in June,Absorbing supply post-markdown | Testing commitment of weak holders via shakeouts | Not yet aggressively marking up — still in cause-building phase,"PSY: Jan-16 (14.40 high, 6.4M vol) | BC: Jan-28 to Feb-06 (15.20–16.82 zone) | UTAD/Distribution Top: Feb-09 to Feb-11 (17.09 high) | SC: Feb-20 (12.79 low, 10.6M vol) | AR: Mar-03/04 (12.44–12.50) | ST: Feb-25 to Mar-06 (11.55–11.86 zone) | Spring/Shakeout: Mar-17 (10.93 low, 5.0M) | LPS candidates: Apr-17, May-21, Jun-24 | SOS attempt: Jun-10/12 (13.80/14.03 push)","Markdown from 17.09→10.93 = ~36% decline establishing clear markdown phase | SC+AR+ST sequence textbook Wyckoff bottom structure | Range support ~10.93–11.10 tested multiple times and held | Jun-12 (14.03) approaching top of re-accumulation range | Post-May-07 shakeout (8.3M vol) recovery confirms demand absorption | Price currently ~13.55 — below prior distribution zone, above mid-range",No confirmed Sign of Strength (SOS) breakout above 14.00–14.40 resistance yet | Jun-24 high-volume down-bar (6.5M) near range top = possible supply re-entry | Multiple failed attempts to sustain above 13.80 in June = overhead supply present | Volume on rallies remains below climactic levels — demand not dominant | May consolidation (13.03–13.61) showed persistent weak closes = distribution risk within range | Re-accumulation vs. re-distribution remains unresolved until clear breakout with volume
PBI,Distribution,High,74,Clean,Bullish | Higher highs and higher lows from March 2026 lows (~9.69) through June 2026 highs (~18.12) | Steep acceleration April–June | Minor pullbacks absorbed well through May | Widening spread near top,Mixed | Strong effort with result through April acceleration | May–June shows large-volume days with reduced net progress | Jun-18 (8M vol) and Jun-26 (8.36M vol) show climactic effort with outsized range — potential Buying Climax signals,"Accumulation phase (Jan–Mar): low-moderate volume on weakness, expanding on strength | Markup (Apr): volume surge confirming breakout | May–June: climactic spikes on high volume with mixed closes — distribution warning signals emerging","Early phase (Jan–Mar): Classic Accumulation (Phase B/C) with shakeouts (Mar-18 low 9.79, Mar-19 low 9.69 = Spring) | Current phase: Transitioning toward potential Distribution after extended markup",Absorbed supply Jan–Mar in tight range | Executed markup aggressively Apr–May | Late June high-volume wide-spread bars suggest CO may be offloading into strength,"Preliminary Support: Jan-06 (3.55M, low 9.82) | Selling Climax: Jan-05 (2.38M, drop to 10.07) | Secondary Test: Jan-21/22 | Spring: Mar-18/19 (low 9.69, 4.4M+3.8M vol) | Sign of Strength: Mar-23 to Apr rally | Last Point of Support: Mar-19 rebound | Markup acceleration: Apr-17 (4.9M) | Buying Climax candidates: Apr-21 (9.8M, +12% range) | Apr-22 (8M) | Jun-18 (8M) | Jun-26 (8.36M, new high 18.12)","Spring confirmed at 9.69 (Mar-19) with recovery volume | Explosive markup Apr-21/22 on massive volume (+9M, +8M) — first BC signal | Price consolidated May in narrow band (15.25–16.56) suggesting re-accumulation or UT preparation | June breakout to 18.12 on 8.36M volume with wide spread — potential Upthrust or secondary BC | Total move from spring ~9.69 to high ~18.12 = ~87% gain | Velocity of move increasing = late-stage markup risk","Jun-26 climactic volume (8.36M) largest since Apr-21 — potential Buying Climax | Jun-18 8M volume bar with close below high — absorption signal | May-06 shakeout (low 13.88, 7.4M) recovered but showed vulnerability | Widening price spread in June with mixed closes = distribution risk rising | No clear consolidation base to support further markup without correction | Watch for Upthrust After Distribution (UTAD) or failed rally at current levels"
HE,Distribution,Low,38,Mixed,Bearish — lower highs from Feb-06 peak (17.38) | price failing to reclaim prior structure | declining tops pattern intact,"Negative divergence persistent — high volume on down moves (Mar-20: 7.7M, May-11: 5.5M) producing large range declines | low volume rallies failing to sustain price",Climactic selling volume on May-11 (5.5M) possible Selling Climax (SC) candidate | subsequent rally volume weak (1.3M–2.5M range) | Jun-26 volume spike (4.5M) on up close warrants monitoring — possible demand re-entry,"Ambiguous — early Jan accumulation signal (Jan-06 breakout, 6.2M) negated by Feb distribution top | May–Jun range shows possible re-accumulation base forming but evidence incomplete | no confirmed Spring or LPS yet",Appears to have distributed between Jan-29 (16.67 high) and Feb-06 (17.38 peak) | currently either completing markdown or testing for secondary accumulation zone near 12.88–13.57,"Preliminary Support (PS): May-11 area (13.34 low, 5.5M vol) | Possible Selling Climax (SC): May-11 close | Automatic Rally (AR): May-20/21 bounce to 13.93 | Secondary Test (ST): May-29/Jun-01 revisit lows | Possible Spring attempt: Jun-22 (12.72 low) | Potential Sign of Strength (SOS) candidate: Jun-26 (4.5M, close 13.57) — unconfirmed",Price peaked Feb-06 at 17.38 and has trended down ~22% to Jun-22 low of 12.72 | Range compression occurring between 12.72–13.70 since May | Jun-22 low (12.72) represents lowest point in dataset — critical support | Jun-26 high-volume bullish close may signal absorption | Failed to break above 13.70 resistance on multiple attempts since May-11 | Overall structure resembles possible Creek/resistance at 13.60–13.75 level,Spring at 12.72 unconfirmed — no strong LPS established | Jun-26 volume spike could be one-day event without follow-through | Pattern could resolve as continuation of markdown below 12.72 | Resistance at 13.60–13.75 (former support from accumulation base) not yet cleared | Low overall volume environment since April suggests weak institutional conviction on either side | Do not confirm accumulation without clear Back-Up (BU) above 13.75 with expanding volume
RAMP,Distribution,High,62,Clean,Downtrend (Jan 5–Feb 3) → Recovery/Re-accumulation (Feb–Mar) → Secondary Decline (Mar–Apr) → Sharp Markup Gap (+27% May 18) → Horizontal Consolidation (May 18–Jun 26),"Gap day (May 18): massive volume (13.09M) with minimal range post-gap — effort present, result contained | Post-gap consolidation: high volume on down days (Jun 3: 4.76M, Jun 24: 4.23M) with price barely declining — absorption behavior | Pre-gap accumulation: volume expansion on up days Feb–Mar confirms demand",Climactic volume on May 18 gap (13.09M — likely news/event driven) | Sustained elevated volume May 19–Jun (~2–5M) vs pre-gap baseline (~500K–1.5M) | Volume contracting into tight range Jun 12–23 (500K–1M) — potential low-volatility coil | Jun 24 volume spike (4.23M) on down bar — potential supply test or shakeout,"Phase A–B Accumulation: Jan 13 (SC candidate ~26.14, vol 762K) | Feb 3 (SC/PS ~22.47, vol 753K) | Feb 4 (AR ~22.81, vol 884K) | Feb 5–6 secondary test with climactic vol (1.44M) | Feb–Mar upward re-accumulation with expanding volume | Post-gap: ambiguous — could be distribution at elevated price OR new accumulation range near 37.40–37.90","Pre-gap: CO absorbed supply in Jan–Feb lows, engineered markup | Post-gap behavior suggests CO either distributing into gap-elevated price OR defending new value zone with absorption of selling pressure | Jun 24 down spike on volume may be CO testing supply before continuation",SC (Selling Climax): ~Jan 13 (26.14) | PS (Preliminary Support): ~Jan 5–6 | AR (Automatic Rally): ~Feb 4–6 | ST (Secondary Test): ~Feb 11–12 | Spring/LPS: ~Feb 3 (22.32 low) | SOS (Sign of Strength): Feb 24–Mar 5 markup | LPSY candidates: Mar 10–13 pullback | Markup Gap Event: May 18 (29.66→37.77) | BC (Buying Climax) candidate: May 18 gap open | Possible SOW (Sign of Weakness): Jun 3 (4.76M down) | Jun 24 test: possible ST in potential distribution,27%+ gap on May 18 is an outlier event (likely fundamental catalyst) breaking normal Wyckoff price progression | Post-gap range is extremely tight (37.24–37.92) over 6 weeks — abnormally compressed | Volume remains elevated relative to pre-gap baseline suggesting institutional activity ongoing | Price holding above gap open level (~37.77) is supportive; failure below 37.40 would be concerning | Pre-gap Wyckoff accumulation (Jan–Apr) was textbook in structure,Gap event disrupts classical Wyckoff phase counting — likely external catalyst not CO-engineered | Post-gap consolidation could be
IMAX,Distribution,High,74,Mixed,Bearish deterioration — price unable to sustain highs above 45.52; lower highs forming post-June peak; breakdown attempts at lower bound of range,Negative divergence dominant — large volume on Feb-26 spike (4.2M) and May-22 spike (3.9M) produced temporary markup but failed to hold; Jun-26 close (3.15M) on sharp drop signals supply overwhelming demand,Volume spikes on rallies failing to produce sustained advance | Increased volume on down days late in sequence | Decreasing volume on weak bounces | Classic distribution volume signature emerging,Distribution — two distribution cycles identified: (1) Feb-26 through Mar-20 range 38–43 | (2) May-22 through Jun-26 range 38.5–45.5 | Net supply absorption failing; markdown likely underway,Selling into strength | Used Feb-26 news/event spike to distribute at 41–43 zone | Re-accumulated briefly Mar-Apr lows | Re-distributed May-22 spike into June highs 43–45 range | Now appears to be exiting remaining positions,SC (Selling Climax): Jan-07 ~33.63 low on volume surge | AR (Automatic Rally): Jan-15 to Jan-16 to 37.61 | ST (Secondary Test): Jan-23 ~34.30 | SOS (Sign of Strength): Feb-26 breakout 37→41.77 high volume | UTAD (Upthrust After Distribution): Jun-17/18/24 ~45.09–45.52 | LPSY (Last Point of Supply): Jun-25/26 failure | Markdown initiation: Jun-26 close 41.08 on 3.15M volume,"Feb-26 climactic spike (4.2M vol) marked primary distribution entry point | May-22 second spike (3.9M vol) at 39.12 close — shakeout or re-markup for secondary distribution | Price reached 45.52 (Jun-24) — likely UTAD against Feb-Mar distribution range highs | Jun-26 reversal bar: open 43.14, close 41.08, range 2.55pts, volume 3.15M — high-effort downside result confirms supply | Overall range: 33.30–45.52; current price near midpoint and weakening",Two distinct phases make clean Wyckoff labeling ambiguous | May-22 spike could be re-accumulation SOS rather than secondary distribution entry | Insufficient data beyond Jun-26 to confirm full markdown | Some consolidation zones (Jan-26 to Feb-13) show low volume absorption that could support bullish re-read | Phase confidence reduced due to structural complexity across 6-month window
