symbol,market_phase,phase_confidence,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
DNOW,Accumulation,Low,Mixed,Primary downtrend from Feb 2026 peak 17.26 | Markdown complete | Multi-week lateral base 11.20-13.80 | Higher lows forming since March 2026 lows,Feb 20-23 high volume markdown shows strong distribution effort with large result | March-April base shows diminishing volume on dips indicating absorption | Recent rally attempts show moderate volume with limited upside extension,Climactic selling Feb 20 10.6M and Feb 23 14.2M confirm selling climax | Volume contraction during base consolidation Mar-Apr confirms reduced supply | May-June volume mixed but above average on rallies suggesting demand returning,Net Accumulation | Selling climax confirmed | Automatic rally present | Secondary test completed multiple times | Potential Sign of Strength developing June 2026,Absorption mode | CO absorbed markdown supply Feb-Mar | Testing commitment of weak holders through choppy base | Selective markup attempts indicate positioning in progress,Preliminary Support Dec 2025 ~13.17 | Selling Climax Feb 23 11.74-11.85 | Automatic Rally Mar 3-5 12.33-12.44 | Secondary Test Mar 12-17 11.10-11.20 | Creek resistance zone 12.80-13.50 | Multiple back-to-creek tests Apr-Jun | Possible SOS attempt Jun 10-12 14.03,Price range compressed from 17.26 high to 11.10 low representing 35.7% decline | Base established 11.10-13.80 over 4 months | June 2026 attempting to breach 13.80-14.00 resistance | Last Day Action Jun 22 shows 4.83M volume with close 13.71 bullish recovery from intraday low | Higher low structure from March through May intact | 13.50 acts as pivotal creek level,Multiple failed breakouts above 13.80 reduce confidence | May 7 high volume reversal 8.3M bearish engulf signals supply still present | No sustained markup above creek | Price still below Feb breakdown origin 16.00 | Volume on June rally attempts inconsistent | Potential retest of 11.80-12.00 support still possible if 13.20 fails
PTY,Distribution,Low,Mixed,Bearish - lower highs and lower lows established from Jan 2026 peak | Range compression after March low | Secondary distribution forming May-June 2026,Effort without result on rallies | High volume down bars producing larger range | Rally attempts failing on diminishing volume,Elevated volume on down thrusts | Declining volume on bounces | Climactic spike on 2026-03-03 (3.5M) signals selling climax candidate | Recent 2025-06-22 spike (2.5M) on down bar confirms supply dominance,Distribution confirmed from 13.00-13.24 range Dec 2025-Jan 2026 | No successful accumulation base formed | Partial re-accumulation attempt Apr-May 2026 failed,Distributing | Absorbing retail buying on minor rallies | Systematic pressure applied on weakness,"PSY near 13.24 Jan 2026 | BC/UTAD attempt Jan 7 13.24 | SOW on Feb 25-27 break | LPSY cluster Feb-Mar 2026 | SC candidate Mar 3 (3.5M vol, wide spread down) | AR bounce Mar 31-Apr 9 | Secondary test failure May 2026 | New markdown leg June 2026",Peak at 13.24 (Jan 7) with narrowing spread and declining volume signals distribution top | March 3 climactic volume 3.53M on large down bar = potential SC | AR to 12.35 area | Price failed to recover above 12.35 resistance | May-June range 11.73-12.35 = narrow consolidation under resistance | June 22 high-volume drop below 11.70 signals renewed markdown | Overall range decay from 13.24 to 11.61 = approximately 9.3% decline,No confirmed accumulation bottom yet | March climactic volume could mark SC but no sustained upside follow-through | Each rally lower high confirms distribution dominance | June 22 volume spike may be secondary selling climax - watch for reversal signals | Support at 11.58-11.60 critical - breach accelerates markdown | Low-volume bounces lack institutional sponsorship
XIFR,Accumulation,Low,Mixed,Uptrend from 9.36 to 12.77 peak | Pullback underway | Higher lows intact but momentum slowing,Feb-10 high effort high result (SOS) | May-06/08 high effort high result (SOS) | Jun-02 high effort diminishing result (potential UT or UTAD) | Recent low volume narrow range = effort/result neutral,Volume expansion on upthrusts and SOS bars | Volume contraction on consolidation plateaus | Jun-02 spike on range extension but price failed to hold | Post-Jun-02 volume declining on pullback = tentative absorption,Phase A-E accumulation completed ~9.36-10.00 zone (Dec-Jan) | Second accumulation/re-accumulation ~9.65-10.70 zone (Jan-Mar) | Markup confirmed May | Possible early Distribution forming near 12.00-13.25 range,Absorbed supply in 9.50-10.10 range through Feb | Engineered markup via two SOS thrusts | Currently testing commitment at 11.60-12.00 | Behavior suggests CO managing position not aggressively distributing yet,PS=~9.59 Dec-29 | SC=~9.53 Jan-20 | AR=~11.40 Jan-06 | ST=~9.65 Jan-23 | LPS=~9.82 Jan-27 | SOS1=~11.12 Feb-10 | BU/LPS=~10.30 Feb-19 | SOS2=~11.21 May-06 | SOS3=~12.77 Jun-02 | Possible UT=Jun-02 high 13.25 | ST in Distribution=~11.47-11.70 Jun range,,Jun-02 gap up to 13.25 reversed sharply = potential UTAD signal | Price unable to sustain above 12.50 post Jun-02 | Declining volume on bounce attempts Jun-08 to Jun-22 | Narrowing range near 11.60-11.82 = indecision | No confirmed SOW yet but momentum diverging | Second distribution test forming if 11.45 breaks with volume
AUPH,Accumulation,Low,Mixed,Downtrend Jan-Feb 2026 | Extended trading range Feb-Apr 2026 | Emerging uptrend Apr-Jun 2026 | Acceleration signal Jun 22,Feb-Mar low volume on dips shows absorption | Mar 23 high volume spring attempt | May 7 high volume shakeout with recovery | Jun 22 extreme volume with large upside result confirms effort-result alignment,Elevated volume on drops early Jan absorbed | Volume contraction during range consolidation Feb-Mar | Volume expansion on upside tests Apr | Climactic volume Jun 22 breakout 3.3M+ with 10%+ range,Accumulation profile dominant | SC candidate Jan 2 high volume drop | AR Jan 7 | ST Jan 8-9 | Creek tested multiple times Mar-May | Jun 22 JOC breakout,Absorption evident Jan-Feb lows | Repeated low volume tests of support 13.85-14.20 zone | Markup initiated Apr-Jun | Jun 22 surge suggests institutional sponsorship,SC=Jan 2 1.675M volume drop to 15.01 | AR=Jan 7 close 16.02 | ST=Jan 8 high volume reversal | Spring=Feb 26-27 drop to 13.52 high volume recovery | LPS=Mar-Apr base tests | SOS=Apr 1-6 breakout | BU=Apr 29-May 1 pullback | JOC=Jun 22 breakout 17.53 on 3.39M,Trading range established 13.52-16.54 | Spring Feb 27 low 13.52 recovered strongly | Creek resistance ~16.00-16.54 breached Jun 22 | Jun 22 bar closes 17.53 with wide spread and extreme volume confirms markup | Multiple LPS tests held 14.80-15.30 zone | Cause built over 5 months sufficient for markup objective,May 7 shakeout 14.40 low shows vulnerability | Multiple failed breakout attempts above 16.50 prior to Jun 22 | Jun 22 single-bar acceleration may need consolidation | Price still needs to hold above 16.54 former resistance now support | Low float characteristics may amplify volatility | Insufficient post-Jun 22 data to confirm sustained markup
HE,Accumulation,Low,Mixed,Primary uptrend from Dec 2025 to Feb 2026 followed by progressive lower highs and lower lows from Feb 2026 onward,Effort without result on upside attempts post Feb 6 | Declining price on rising/average volume signals supply dominance | May 11 high volume down bar confirms supply pressure,Volume expansion on Jan 6 breakout and Jan 9 thrust | Volume climax behavior near Feb 6 high | Declining volume on rallies post Feb | High volume selling May 8-11 | Low volume on recovery attempts May-June signals weak demand,Distribution favored | SOW visible May 8-11 sharp break | LPSY formation attempts failing | No convincing spring or successful test present,Composite operator appears to be distributing | Markup phase completed Feb 2026 | Systematic selling on rallies | Absorption weakening,SC candidate Dec 29 base | JAC Jan 6 | Buying climax region Jan 9-Feb 6 | AR Feb 18-27 | Secondary test Feb-Mar | SOW May 8-11 | LPSY attempts May-June failing | Potential UTAD failed Jan 29,Price rose ~40 pct from Dec base to Feb peak | Failed to hold above 17.00 | Each rally since Feb 6 makes lower highs | May 11 volume spike 5.5M on -1.57 day is strongest supply signal | Current price 12.885 near December 2025 origin | Structure suggests markdown phase likely unless 13.75 reclaimed with volume,No confirmed spring present | Price below Feb distribution zone | Volume on bounces insufficient to confirm re-accumulation | June low 12.72 approaching Dec 2025 base | Breakdown below 13.00 would confirm full distribution | Potential for Phase D markdown acceleration
SHO,Markup,High,Clean,BULLISH | Base formed 8.69-8.95 (Jan-Feb 2026) | Markup initiated mid-April 2026 | Accelerating trend with orderly pullbacks | Current price 11.86 vs base low 8.69 = +36.5% advance,"BULLISH CONFIRMATION | High volume on Jan 27 shakeout (7.35M) absorbed well | Feb 4-5 climactic volume (4.99M, 8.26M) preceded sustained rally | Breakout bars in May-June show adequate volume with price follow-through | No climactic exhaustion volume detected at current highs",CONSTRUCTIVE | Selling climax cluster Jan 27-Feb 5 | Volume expansion on upside breakouts | Decreasing volume on minor pullbacks | Rising volume accompanies new price highs in June | No distribution-type volume spikes at top,"ACCUMULATION COMPLETE | Trading range 8.69-9.82 served as accumulation base | Spring/shakeout Jan 27 (8.69 low, 7.35M volume) | Secondary test Feb 2-3 | Cause built Dec 2025-Apr 2026 | Distribution NOT detected at current levels",BULLISH POSITIONING | Absorbed supply aggressively on Jan 27 shakeout | Markup initiated Apr 8-9 with volume expansion | Systematic price advance with controlled pullbacks | No evidence of CO distributing at current price levels,"PRELIMINARY SUPPORT Dec 31 (8.93 low) | SELLING CLIMAX Jan 27 (8.69-8.75, 7.35M vol) | AUTOMATIC RALLY Feb 4-5 (8.69 to 9.15, climactic volume) | SECONDARY TEST Feb 2-3 (8.69-8.78 lows) | SPRING Apr 2 (8.86 intraday) | SIGN OF STRENGTH Apr 8-14 breakout | LAST POINT OF SUPPORT Apr 15-24 (9.50-9.57 zone) | MARKUP ACCELERATION May-Jun 2026 | BREAKOUT above 10.00 May 5-6 | BREAKOUT above 11.00 Jun 2-3","Tight accumulation range 8.69-9.82 established over ~3 months | Jan 27 shakeout volume (7.35M) was 7x average, classic SC | Feb 4-5 AR volume (4.99M + 8.26M) confirmed institutional buying | Apr 8-9 markup initiation volume (2.94M + 3.01M) above average | Price respected LPS zone 9.46-9.57 before resuming | Consistent higher lows since April 2026 | June advance orderly with no climactic signs | 11.86 current price approaching measured move targets","Extended from accumulation base (36%+) | Minor resistance clusters near 12.00-12.10 psychological zone | Some narrowing daily ranges in June suggest potential consolidation ahead | Volume on Jun 17-18 elevated (3.27M, 4.52M) warrants monitoring for potential UT or buying climax | No confirmed distribution signals yet but age of trend warrants vigilance"
PEB,Distribution,Low,Mixed,Primary uptrend from 11.23 low | Accelerating markup phase Apr-Jun | Recent narrowing range at highs | Possible UTAD or BC forming near 19.39-19.60,Strong effort-result alignment through Apr-Jun markup | Apr-29 climactic volume 9.2M with narrow follow-through | Jun-16 high volume 6.1M spike to 19.39 with Jun-17 reversal bar 6.4M indicating supply absorption failure | Jun-22 high volume 6.7M on narrow range and lower close = effort not producing result,Persistent volume expansion on upthrust bars | Climactic volume signatures on Jun-16 and Jun-17 | Jun-22 highest recent volume with minimal price progress = warning signal | Volume drying up on rallies mid-May consistent with hidden distribution | Apr-29 buying climax precursor event,Early accumulation confirmed Nov-Jan range 11.16-12.95 | Markup confirmed Jan-Jun | Distribution signals emerging Jun-16 through Jun-22 | Composite operator showing possible offloading at highs,Absorbed supply through Nov-Jan base | Drove markup through Apr-Jun | Now exhibiting potential supply release behavior at 18.50-19.60 zone | Jun-17 wide spread down on climactic volume = CO selling into strength,SC candidate=11.16 Jan-02 | AR=12.95 Jan-12 | Secondary test=11.23 Dec-31 | SOS=Jan-06 breakout | LPS=Jan-26 to Jan-30 zone | Markup acceleration=Apr-08 gap up | BC candidate=Jun-16 19.39 | UTAD candidate=Jun-17 19.60 high | SOW signal=Jun-17 reversal | Jun-22 potential secondary test of supply,Price ran from 11.16 to 19.60 = 75% advance | Three climactic volume events in Jun indicating potential exhaustion | Jun-17 bar opened 19.26 closed 18.33 on 6.4M = significant supply bar | Jun-22 6.7M volume with 18.655-19.09 range closing 18.695 = supply overwhelming demand | Range compression at highs typical of distribution formation | Apr-29 9.2M climactic bar preceded 2-week consolidation = precedent for post-climax behavior,No confirmed distribution phase yet | Price still above all key supports | Trend remains up on larger structure | Single-day reversals insufficient for full distribution confirmation | Could be re-accumulation if support holds 18.50 zone | Watch for LPS or LPSY formation before shorting | Needs break of 18.00 to confirm bearish phase shift
PGNY,Accumulation,Low,Mixed,Primary downtrend from Jan 2026 peak (~28.63) to Feb low (~16.75) | Secondary base building Mar–May 2026 | Markup impulse initiated May 8 | Current consolidation near 25–27 range,May 8 massive volume surge (4.4M) with large price gap up confirms effort-result alignment | Jun 18 high volume (3.06M) on narrow range and close below open signals absorption/distribution concern | Feb 27 climactic sell (5.2M) confirmed selling climax,Selling climax Feb 27 (5.2M) | Diminishing volume on base Mar–Apr confirms supply exhaustion | Volume expansion on May 8 markup confirmed | Volume contracting on June consolidation near highs — mixed signal,Accumulation base confirmed Mar–May 2026 (~16.30–19.20 range) | Markup phase underway | Current price (~26.25) near prior Jan 2026 supply zone | Possible early distribution forming at current levels,Completed accumulation in Mar–May range | Initiated markup May 8 | Currently testing supply zone 25.50–27.50 | Behavior at Jun 18 and Jun 22 suggests CO absorbing or distributing — inconclusive,"Preliminary Supply (PS): Jan 8 (~28.49 high) | Buying Climax (BC): Jan 12 (~28.63) | Automatic Reaction (AR): Jan 15–16 (~24.10) | Secondary Test (ST): Jan 20–21 (~25.78) | Sign of Weakness (SOW): Feb 27 (~16.75 low, climactic) | Selling Climax (SC): Feb 27 | Automatic Rally (AR-acc): Mar 6 (~18.49) | Secondary Test (ST-acc): Mar–Apr base | Sign of Strength (SOS): May 8 gap-up surge | Last Point of Support (LPS): May 15–22 consolidation | Markup continuation: May 18–Jun 15",Feb 27 selling climax is dominant structural anchor | 5-week base Mar–Apr 2026 shows low-volume compression typical of Phase C | May 8 SOS gap on 4.4M volume is highest post-climax volume — strong markup signal | Price recovered from ~16.30 to ~27.17 (~66% recovery) | Jun 18 high-volume narrow spread near 26.08 close is potential upthrust or supply test | Current range 25.90–26.93 is back-testing Jan 2026 supply zone | Consolidation volume declining — watch for resolution,Jun 18 volume spike (3.06M) with weak close may indicate distribution entry | Price re-entering Jan 2026 supply zone (25–28) — significant overhead resistance | May 11 wide spread down from gap-up close (22.55) shows lingering selling pressure after SOS | No clear higher-high structure yet on daily closes above 27.17 | Markup velocity slowing — potential redistribution if price fails to clear 27.20+ | Overall data quality shows future-dated entries (2025–2026) — structural logic applied as presented
TH,Distribution,Low,Clean,Primary uptrend intact | Higher highs and higher lows from Feb lows | Accelerating impulse from Mar-Apr | Extended markup through May-Jun | Possible topping action near 20.00,Accumulation zone (6.72-8.50): high effort low result bearish | Mar 11-12 breakout: massive volume with strong result bullish | Apr 1 gap: extreme volume extreme result confirmed markup | May 11 spike: climactic volume strong result | May 28 drop: extreme volume poor result warning | Jun recovery: moderate volume adequate result diminishing thrust,Declining volume Jan-Feb during selling confirms accumulation | Surge volume on Mar 11-12 confirms SOS | Climactic volume Apr 1 (9.7M) confirms markup launch | May 11 (5M) secondary climax | May 28 (6M) on sharp drop = potential selling climax or supply entering | Jun volumes moderate but sustaining advance,Accumulation: Dec 2025 - Feb 2026 range 6.72-8.50 | Creek crossed Mar 11 with authority | Markup: Mar-Jun sustained | Early distribution signals: May 28 high-volume reversal | Jun 15-22 approaching potential distribution zone | No confirmed distribution yet,Absorbed supply Dec-Feb at low prices | Engineered markup Mar onward | Likely testing commitment of weak holders May 28 | Currently distributing or re-testing at highs near 20.00 | Behavior consistent with professional accumulation and controlled markup,PS (Preliminary Support): Jan 20 low 7.28 high volume | SC (Selling Climax): Jan 28-29 area 6.72 low | AR (Automatic Rally): Feb 2-3 bounce to 7.15 | ST (Secondary Test): Feb 12-19 retest lows | Spring: Feb 20 sharp drop to 6.46 on high volume | SOS (Sign of Strength): Mar 11-12 gap and surge | LPS (Last Point of Support): Mar 16-19 pullback | BU (Back Up): Apr 22-29 pullback after Apr 1 gap | Potential UTAD or BC forming Jun 18-22 near 20.00,Six-week accumulation base well-defined 6.72-8.46 | Spring on Feb 20 confirmed with immediate recovery | Creek break Mar 11 on 965K then 1.47M volume decisive | Gap continuation Apr 1 on 9.7M shares extraordinary commitment | Price advanced from 6.72 to 20.33 = 202% gain in 4 months | May 28 6M volume bearish outside reversal day | Jun base 16.11-17.40 held and resumed | New highs Jun 18-22 with sustained volume | Market extended but no confirmed reversal yet,Price extended 200%+ from accumulation lows elevated reversal risk | May 28 high-volume selloff unresolved supply concern | Jun 3-8 volatile swings suggest professional activity | Volume on Jun rallies declining relative to earlier impulses | Approaching psychological 20.00 resistance | UTAD risk if price spikes and reverses sharply from highs | No clear LPS or re-accumulation zone established at current levels | Watch for effort-result divergence on continued advances
SLDE,Distribution,Low,Mixed,Bearish | Lower highs from Feb 2026 peak | Recovery rallies failing below prior highs | Descending structure post-April spike,Negative divergence | High volume on Feb 24-25 surge with diminishing upside follow-through | Mar 20 climactic volume 8.67M no net gain | Apr 29 high volume 5.35M reversal candle,Climactic surges at highs | Volume drying on rallies | Elevated supply volume on down thrusts | Low volume bounces post-June breakdown,Distribution dominant | Supply overwhelming demand at upper ranges | Consistent failure to sustain above 19.50 | June breakdown confirms distribution completion,Distributing | Offloading into strength | Engineering rallies to sell into | Allowing price to erode on low volume after distribution complete,PSY near 19.89 Dec 2025 | BC at 19.935 Feb 24 | AR low near 15.75 Jan 2026 | ST Feb 25-26 at 19.93 | UTAD attempt Apr 17 at 19.75 | SOW Mar 20 climactic drop | ICE break Jun 3-4 | Failed rally Jun 5-22,Distribution range 15.75-19.93 | UTAD Apr 17 rejected sharply | SOW confirmed Mar 20 on extreme volume | June price collapsing below trading range lows | Current price ~16.94 near range lows | Rallies capped below 17.50 post-June breakdown,Possible secondary test of June lows may produce bear trap | Low volume Jun 8-22 could precede volatility | No confirmed accumulation signals yet | Watch 15.75-16.00 zone for potential selling climax
SGRY,Accumulation,Low,Noisy,Primary downtrend from 16.44 high | Lower highs and lower lows dominant | Partial recoveries fail at resistance,High volume on down days yields large price drops | Rally attempts on moderate volume show poor follow-through | Feb-11 spike effort partially reversed | Mar-03 gap-down catastrophic effort-result failure,Climactic volume Feb-11 (5.2M) and Mar-03 (5.9M) mark key structural events | Declining volume on bounces confirms weak demand | Elevated volume on selling waves confirms distribution pressure | Recent low volume rallies (Jun-08 720K) lack conviction,Net distribution confirmed | Each rally phase absorbed by supply | Higher-volume down days outnumber higher-volume up days across full dataset | No credible accumulation base established,Selling into strength throughout | Mar-02 high-volume markup immediately reversed Mar-03 | Repeated upthrusts on modest volume indicate supply overhang | CO defending 15.50 as distribution ceiling,PSY near 16.44 Jan-16 | UTAD attempt Jan-26 at 16.28 | SOW Jan-27 to 28 sharp drop | Secondary test failure Feb-19 | Selling Climax candidate Feb-05 to Feb-09 | AR Feb-11 climactic volume spike | LPSY Feb-12 to Feb-13 | Major SOW Mar-03 gap-down 5.88M volume | ST Mar-11 4.3M volume no recovery | Secondary SC candidate Mar-19 to Mar-27 | Weak re-accumulation attempt Mar-30 to Apr-22 | Secondary distribution Jun-11 to Jun-15 upthrust | Minor SOW Jun-17 to Jun-18,16.44 established hard resistance ceiling | 11.45 area tested as potential support base | Recovery to 15.31 area Jun-15 rejected sharply | Current price 14.55 below all major distribution zones | Volume consistently higher on declines than advances | Jun-17 sharp reversal from 15.12 high on rising volume signals renewed supply | Range 11.45 to 15.50 defines current trading channel with downward bias,Feb-11 climactic spike could signal selling exhaustion not confirmed | Mar-27 to Apr-22 structure could be re-accumulation not secondary distribution | Jun-11 to Jun-15 rally could be sign of strength if held | Insufficient data to confirm final markdown phase | Low volume base Mar-24 to Apr-01 ambiguous | Conflicting signals between potential absorption and continued supply
NTST,Distribution,Low,Mixed,Uptrend exhausted | Range-bound topping | Early markdown phase initiated,Feb-Mar rally showed diminishing returns | High effort low result on upthrusts | Selling pressure overwhelming buying near highs,Climactic volume Feb-12 (8.97M) signals buying climax | Volume declining on rallies | Volume expanding on down days in June | Distribution pattern confirmed,Distribution dominant | No re-accumulation signs visible | Lower highs and lower lows forming post-April,CO absorbed supply Dec-Jan | CO offloaded inventory Feb-Apr range | CO appears net short or exited | Markup complete,Spring/Test Dec-Jan lows 17.10-17.14 | Sign of Strength Jan-13 to Feb-12 | Buying Climax Feb-12 high volume reversal | Automatic Reaction Feb-18 | Secondary Test Feb-19 to Feb-26 | Upthrust After Distribution Apr-17 to Apr-23 highs ~21.18 | Sign of Weakness May-27 to Jun-4 breakdown | Last Point of Supply Jun-5 to Jun-12 failed rally | Markdown initiation Jun-15 to Jun-22,BC confirmed at 21.18 on Apr-23 with volume expansion | Range established 20.00-21.18 April onward | Failed rally attempts in May-June below April highs | June breakdown below 20.00 support confirms distribution complete | Low closes with wide spread down in June signals markdown | Tight consolidation Dec-29 to Jan-5 was re-accumulation base,Volume not always confirmatory on all down days | Possible re-accumulation attempt if price holds 19.20 support | Short dataset limits full phase confirmation | June 22 close 19.42 near support zone watch for test | Volatility spike Jun-16 to Jun-18 may indicate selling climax attempt in early markdown
GOF,Accumulation,Low,Noisy,Primary Downtrend | Peak ~13.09 (Jan 7) | Current ~10.74 | Approximately 18% decline | Series of lower highs and lower lows intact,"Effort exceeds result on down moves | Large volume selling bars (Mar 6, Mar 9) produce meaningful price drops | Rally attempts on declining volume show weak demand",High volume on down thrusts confirms supply dominance | Volume contracting on rallies signals lack of demand | Diminishing volume in sideways chop (Apr-Jun) suggests drying up of selling pressure possible,Net Distribution from Dec-Jan highs | Markdown phase Feb-Mar | Possible Accumulation floor forming Apr-Jun but unconfirmed | No clear Creek crossover,Composite Man appears to be distributing | Markup phase ended Jan 7 | Controlled markdown with periodic test rallies | Current behavior suggests possible absorption at lows but insufficient evidence,PSY near 13.09 Jan-7 | BC potential at 12.92 Dec-30 | UTAD-like spike Jan-6/7 | ST multiple tests 12.63-12.83 range | Markdown acceleration Feb-Mar | SC candidate Mar-9 at 11.07 low on 3.6M volume | AR bounce Mar-31 to 11.02 | Secondary tests Apr-Jun range 10.74-11.56 | Possible Spring test Jun-18 low 10.65,Dec-Jan range 12.50-13.09 acted as distribution zone | Feb selloff confirmed distribution | Mar-9 climactic volume (3.6M) on 11.07 low is strongest SC candidate | Apr-Jun lateral range 10.61-11.63 is narrow and compressing | Jun-18 low 10.65 tests below Apr lows potential Spring | Volume declining in Jun suggesting supply exhaustion possible | No strong SOS bar yet to confirm accumulation,No confirmed Sign of Strength breakout | Lower highs persist since Jan-7 | Jun range still overlaps Mar lows suggesting distribution could continue | Thin volume rallies lack conviction | Potential for further markdown below 10.61 if 10.65 Spring fails | Macro environment not assessed | Phase C Spring not yet confirmed with SOS follow-through
SFL,Distribution,High,Mixed,Uptrend from 7.70 to 12.90 peak | Topping structure 12.28–12.94 | Markdown underway to 10.81 | Tentative stabilization/retest 10.96–11.49,Strong effort-result alignment on markup phase | Feb-11 spike (5.7M vol) = effort with strong result | May-12 spike (2.7M vol) = effort with diminishing upside result | May-22 to Jun-1 declining prices on elevated volume = distribution effort confirmed,Low vol base Dec-Jan | Expanding vol on markup Jan-Feb | Climactic vol Feb-11 (5.7M) and May-12 (2.7M) | Vol expansion on decline May-22 to Jun-1 = supply dominance | Recent stabilization Jun-8 to Jun-22 on moderate vol = tentative absorption,Accumulation complete Dec-2025 to Jan-2026 | Markup Jan to Mar-2 | Re-accumulation Mar-12 to Apr-2 | Secondary markup Apr to May-12 | Distribution May-12 to May-29 | Early markdown May-22 to Jun-5 | Possible secondary test Jun-8 to Jun-22,CO completed accumulation and drove markup | Distributed heavily at 12.28–12.94 range | Now testing markdown absorption zone 10.81–11.49 | Possible re-entry preparation or continuation of markdown,SC/AR base Dec-29 to Jan-2 | JAC breakout Jan-5 | BU/SOS Jan-28 to Feb-2 | Climactic rally Feb-11 (buying climax candidate) | Secondary test Feb-17 to Mar-2 | LPSY Mar-3 to Mar-6 | Spring/shakeout Mar-12 to Mar-13 | SOS rebound Mar-16 to Apr-7 | UTAD/BC May-12 (2.7M vol) | Distribution SOW May-22 to May-29 | ICE test Jun-1 to Jun-12 | LPSY candidate Jun-15 to Jun-22,Price failed to sustain above 12.80 after high-volume spike | Three consecutive down weeks May-22 to Jun-1 on elevated volume confirms supply | Recovery Jun-8 to Jun-22 capped at 11.33–11.49 = lower high | Range compression and volume moderation in Jun = weak demand | 7.70 to 12.90 = full markup cycle completed | Current price 11.25 sitting below distribution midpoint,Jun-22 recovery to 11.25 on 1.95M vol may indicate renewed demand — monitor for SOS | No confirmed spring structure yet in markdown | If price reclaims 11.50+ on expanding volume = distribution thesis weakens | Thin volume days Apr-15 to Apr-17 and May-1 suggest prior re-accumulation may extend | Markdown confirmation requires break below 10.80 support on volume
TRIN,Accumulation,Low,Mixed,Primary uptrend from 14.13 (Mar-16 low) to 17.38 (May-06 high) | Current phase: lateral consolidation below highs | Lower highs forming since May-06 | Support building 16.72-16.90 range,"Effort exceeds result on Feb decline (high vol, price falls) | May-06 thrust 2028300 vol yields limited follow-through | Jun-01 high vol 1638100 with strong close suggests demand | Post-May-06 range shows declining vol with minimal price progress - absorption possible",Climactic vol Feb-02 2696500 on sell-off signals selling climax candidate | Mar-16 2022100 high vol at low with narrow range - possible SC | May-06 2028300 vol on push to 17.38 - possible BC or continuation test | Jun range vol declining 600K-1600K - drying up on pullbacks bullish | Overall vol trend declining in consolidation zone,Prior base Dec-31 to Mar-16 shows classic accumulation signatures | SC candidate Mar-16 14.13 | AR bounce to 15.50+ | Secondary tests held above SC low | Markup confirmed Apr-Jun | Current Jun lateral range may be re-accumulation or early distribution - insufficient evidence for full distribution,Absorbed supply aggressively Dec-Jan base | Marked up Apr through May | Currently testing commitment of holders in 16.72-17.38 range | No aggressive distribution signals yet | Possible preparation for secondary markup,PS=Dec-29 15.12 area | SC=Mar-16 14.13 low high vol | AR=Jan-21 to Jan-22 16.53-16.78 initial | ST=Feb-23 14.70 retest | LPS=Mar-23 to Apr-02 14.29-14.47 zone | SOS=Apr-13 to Apr-17 breakout thrust | BU/LPSY test=May-07 to May-15 pullback | Potential UTAD test=May-06 17.38 | Jun consolidation=undefined re-accumulation or distribution range,Strong base formed Dec-Mar in 14.13-15.50 range | Clean markup phase Apr-May | 17.38 high unconfirmed as UTAD - needs distribution follow-through | Jun range 16.72-17.29 is tight - low vol pullbacks bullish | Closing prices consistently in upper half of ranges in Jun - demand present | No sign of heavy institutional selling yet | 16.72 is key support - break would shift bias bearish,Failure to make new high above 17.38 after 6+ weeks - weakening momentum | Potential UTAD formation if distribution confirmed | Overlapping price action post-May suggests indecision | Feb climactic selloff 16.83-16.16 on 2696500 vol was sharp - overhead supply remains | Watch for SOW on increased vol below 16.72 | Declining volume may signal interest waning not just absorption
ARI,Accumulation,Low,Clean,Uptrend from 9.63 base to 11.24 peak | Extended lateral range 10.40–11.24 | Recent softening near highs,Jan 28 massive effort produced markup | Subsequent high-volume days show diminishing upside result | Jun 16–18 high volume on narrow range and lower closes — effort not rewarded,Climactic spike Jan 28 (5.3M) — possible Buying Climax | Volume expansion on down/sideways days Feb–Mar | Mar 20 spike (3.9M) on wide down bar — selling pressure | Jun 16–18 surge (3.6M–5.0M) on minimal price progress — supply absorption or distribution,Early phase (Dec–Jan) shows accumulation base 9.63–10.15 | Jan 28 BC launches markup | Apr–Jun range consistent with secondary test or early distribution,Absorbed supply in late 2025–early 2026 | Marked up to 11.24 | Currently testing commitment of buyers near 10.66–11.04 zone | Jun high-volume stall suggests CO may be distributing,SC/PS: Dec 31 low 9.63 | AR: Jan 9 high 10.11 | Spring test: Jan 5–7 | BC: Jan 28 gap-up 11.21 high on 5.3M volume | ST after BC: Jan 29–30 pullback | Secondary tests: Feb–Mar range | UTAD attempt: Apr 15 high 11.24 | SOW signals: Mar 20 wide down bar 3.9M | Jun 16–18 high-volume distribution cluster,Price failed to sustain above 11.10 after Apr 15 UTAD attempt | Jun 16–18 three consecutive high-volume sessions with closes below open and shrinking range — classic supply dominance | Range compression between 10.66–11.04 for weeks | No strong SOS (Sign of Strength) bar post-Jun surge | Base range 9.63–10.15 provides ultimate support,Ambiguous phase — could be re-accumulation within uptrend or early distribution | No confirmed LPS (Last Point of Supply) established | Jun 18 close 10.83 on 5M volume is bearish if supply wins | Lack of clear markup thrust post-April weakens bull case | Small price spread throughout May–Jun despite moderate volume inconsistent with healthy markup
