symbol,market_phase,phase_confidence,structure_quality,research_score,structural_events,key_observations,caution_flags
PEB,Accumulation,Low,Clean,0,"PS(2026-01-12 high ~12.95/vol 5.48M), SC(2026-01-28 low ~11.29/vol 3.22M), AR(2026-01-09 ~12.33), ST(2026-01-14 to 2026-01-22 range), SPRING(2026-01-28 to 2026-01-30 ~11.26-11.28 low zone), LPS(2026-02-04 ~11.55 low), SOS(2026-02-26 thrust to 13.35/vol 5.0M), REACCUMULATION_RANGE(2026-02-27 to 2026-04-07 ~12.42-13.09), SECONDARY_MARKUP_SOS(2026-04-08 breakout ~13.41/vol 4.44M), POTENTIAL_BC(2026-06-16 high 19.39/vol 6.10M), AR_DISTRIBUTION(2026-06-17 reversal 19.60→18.09/vol 6.43M), SOW_CANDIDATE(2026-06-22 narrowing range on high vol 6.70M ~18.655-19.09)",1) Full accumulation structure completed ~11.16-12.95 with textbook Spring at 11.26-11.29 and confirmed SOS thrust; 2) Re-accumulation consolidation Feb-Apr maintained above SOS breakout level demonstrating supply absorption; 3) Sustained markup from ~11.26 to 19.60 represents ~73% advance on consistently expanding volume confirming institutional sponsorship; 4),
PGNY,Accumulation,High,Mixed,0,,,
TH,Distribution,Low,Mixed,0,"PS(Preliminary Support)~7.88-7.55(Jan15-16); SC(Selling Climax)~6.72(Jan28); AR(Automatic Rally)~7.49(Feb10); ST(Secondary Test)~6.38(Feb23-Spring/Shakeout); SOS1(Sign of Strength)~7.65(Feb26,vol679K); JAC(Jump Across Creek)~9.08-9.70(Mar11-12,vol965K-1.47M); LPS(Last Point of Support)~9.03-9.25(Mar20-23); MAJOR_SOS(Breakout)~12.66(Apr1,vol9.7M); BU(Back-Up to Creek)~13.62-13.73(Apr6-7); SOS2~15.61-15.90(Apr20-21); POTENTIAL_BC(Buying Climax)~15.90(Apr21,reversal); ST_of_BC~14.0(Apr23,vol3.18M); UTAD_Candidate~18.66(May15); SOS3~18.08(May11,vol5M); POTENTIAL_DISTRIBUTION_BC~18.66(May15-",,
SLDE,Accumulation,Low,Clean,0,,,
SGRY,Accumulation,Low,Clean,0,,,
NTST,Accumulation,Low,Mixed,0,,,
GOF,Accumulation,Low,Mixed,0,,,
SFL,Distribution,Low,Noisy,0,,,
TRIN,Accumulation,Low,Mixed,0,,,
ARI,Distribution,High,Mixed,0,,,
DOLE,Distribution,Low,Mixed,0,,,
TWO,Accumulation,Low,Mixed,0,,,
